date,game,player_name,cluster,line,prediction,edge,edge_pct,direction,pick,edge_score,ag_score,agreement,role_flag,last7_vals,confidence,model_std,blowout_risk,best_over_odds,best_under_odds,best_odds_for_bet,home_ml,away_ml,imp_over_prob,imp_under_prob,model_win_prob,kelly,m1_xgb,m4_mean,m5_context,m7_matchup,n_books
2026-05-20,San Antonio Spurs (+205) @ Oklahoma City Thunder (-248),Keldon Johnson,C1,0.5,1.39,0.89,178,OVER,OVER,7.3,0.8,HIGH,NORMAL,1|1|1|1|0|2|0,97,0.257,0.19,-199,170,-199,-248,205,0.642,0.358,0.998,0.497,1.44,1.44,1.19,1.28,4
2026-05-20,San Antonio Spurs (+205) @ Oklahoma City Thunder (-248),Luguentz Dort,C1,0.5,1.1,0.6,120,OVER,OVER,6.2,0.8,HIGH,NORMAL,3|0|4|2|0|0|1,97,0.311,0.06,-154,120,-154,-248,205,0.572,0.428,0.973,0.4657,1.08,1.08,1.19,1.34,4
2026-05-20,San Antonio Spurs (+205) @ Oklahoma City Thunder (-248),Isaiah Hartenstein,C1,1.5,3.07,1.57,104.7,OVER,OVER,9.6,0.8,HIGH,NORMAL,1|3|4|1|2|5|2,84,0.393,0.39,152,-180,152,-248,205,0.382,0.618,1,0.5,3.16,3.16,2.73,1.98,3
2026-05-20,San Antonio Spurs (+205) @ Oklahoma City Thunder (-248),Cason Wallace,C1,1.5,2.14,0.64,42.7,OVER,OVER,6.1,0.8,MED,NORMAL,2|4|2|4|1|0|0,67,0.617,0.49,-114,100,-114,-248,205,0.516,0.484,0.85,0.3395,2.16,2.16,2.07,1.7,4
2026-05-20,San Antonio Spurs (+205) @ Oklahoma City Thunder (-248),Jalen Williams,C1,4.5,5.61,1.11,24.7,OVER,OVER,7.9,0.6,MED,NORMAL,2|8|7|6|6|4|3,60,0.91,0.61,180,-111,180,-248,205,0.404,0.596,0.889,0.4137,5.64,5.64,5.5,3.12,5
2026-05-20,Cleveland Cavaliers (+186) @ New York Knicks (-228),Josh Hart,C1,4.5,3.71,-0.79,17.6,UNDER,UNDER,7.6,0.8,MED,NORMAL,4|2|6|6|3|1|4,51,0.613,0.62,190,-115,-115,-228.5,186.5,0.392,0.608,0.901,0.3936,3.72,3.72,3.65,2.28,5
2026-05-20,San Antonio Spurs (+205) @ Oklahoma City Thunder (-248),Stephon Castle,C1,6.5,7.55,1.05,16.2,OVER,OVER,8.8,0.6,LOW,NORMAL,5|4|12|4|6|6|11,44,1.533,0.33,170,-105,170,-248,205,0.42,0.58,0.753,0.3039,7.8,7.8,6.56,3.21,5
2026-05-20,Cleveland Cavaliers (+186) @ New York Knicks (-228),Jalen Brunson,C1,6.5,7.07,0.57,8.8,OVER,OVER,6.3,0.4,LOW,NORMAL,8|8|3|6|9|6|6,23,1.286,0.68,185,-125,185,-228.5,186.5,0.387,0.613,0.671,0.2466,7.28,7.28,6.23,3.28,5
2026-05-20,Cleveland Cavaliers (+186) @ New York Knicks (-228),Jarrett Allen,C1,1.5,1.09,-0.41,27.3,UNDER,PASS,5.2,0.8,HIGH,NORMAL,3|1|1|1|1|1|3,94,0.255,0.18,130,-135,-135,-228.5,186.5,0.431,0.569,0.914,0.399,1.08,1.08,1.11,1.17,3
2026-05-20,San Antonio Spurs (+205) @ Oklahoma City Thunder (-248),Devin Vassell,C1,2.5,2.78,0.28,11.2,OVER,PASS,4.4,0.6,HIGH,NORMAL,3|4|3|3|2|4|2,82,0.309,0.29,120,-154,120,-248,205,0.428,0.572,0.818,0.3332,2.76,2.76,2.88,2.07,5
2026-05-20,San Antonio Spurs (+205) @ Oklahoma City Thunder (-248),Alex Caruso,C1,1.5,1.65,0.15,10,OVER,PASS,4.3,0.8,HIGH,NORMAL,1|1|2|4|2|1|1,80,0.126,0.25,154,145,154,-248,205,0.491,0.509,0.691,0.2452,1.64,1.64,1.68,1.62,5
2026-05-20,San Antonio Spurs (+205) @ Oklahoma City Thunder (-248),Victor Wembanyama,C1,2.5,3.09,0.59,23.6,OVER,PASS,5.1,0.4,MED,NORMAL,5|2|1|1|5|2|3,70,0.562,0.57,160,120,160,-248,205,0.458,0.542,0.853,0.3806,3.24,3.24,2.49,1.71,5
2026-05-20,San Antonio Spurs (+205) @ Oklahoma City Thunder (-248),Julian Champagnie,C1,1.5,1.64,0.14,9.3,OVER,PASS,4.3,0.8,HIGH,NORMAL,0|2|3|3|0|2|1,69,0.251,0.43,157,-185,157,-248,205,0.375,0.625,0.68,0.2381,1.64,1.64,1.62,1.64,5
2026-05-20,Cleveland Cavaliers (+186) @ New York Knicks (-228),Mikal Bridges,C1,2.5,2.68,0.18,7.2,OVER,PASS,4,0.6,HIGH,NORMAL,1|3|5|2|1|6|1,66,0.219,0.59,190,100,190,-228.5,186.5,0.408,0.592,0.726,0.2909,2.68,2.68,2.69,2.21,5
2026-05-20,San Antonio Spurs (+205) @ Oklahoma City Thunder (-248),Chet Holmgren,C1,1.5,1.41,-0.09,6,UNDER,PASS,4.1,0.8,HIGH,NORMAL,2|3|1|3|1|0|0,64,0.4,0.3,118,-140,-140,-248,205,0.44,0.56,0.589,0.0068,1.4,1.4,1.46,1.48,5
