date,game,player_name,cluster,line,prediction,edge,edge_pct,direction,pick,confidence,agreement,model_std,blowout_risk,best_over_odds,best_under_odds,best_odds_for_bet,imp_over_prob,imp_under_prob,model_win_prob,kelly,m1_xgb,m4_mean,m5_context,m7_matchup,n_books
2026-03-01,Cleveland Cavaliers @ Brooklyn Nets,James Harden,C4,4.5,5.49,0.99,22,OVER,STRONG OVER,79,HIGH,0.311,0.34,112,-144,112,0.444,0.556,0.999,0.4991,5.45,5.45,5.69,5.64,2
2026-03-01,Memphis Grizzlies @ Indiana Pacers,Jaylen Wells,C2,4.5,3.43,-1.07,23.8,UNDER,STRONG UNDER,78,HIGH,0.444,0.32,116,-153,-153,0.434,0.566,0.992,0.4899,3.37,3.37,3.76,3.77,1
2026-03-01,Minnesota Timberwolves @ Denver Nuggets,Julius Randle,C4,6.5,7.75,1.25,19.2,OVER,STRONG OVER,78,HIGH,0.774,0.48,105,-118,105,0.474,0.526,0.947,0.4483,7.89,7.89,6.92,5.63,3
2026-03-01,San Antonio Spurs @ New York Knicks,Devin Vassell,C4,3.5,3.91,0.41,11.7,OVER,STRONG OVER,77,HIGH,0.302,0.16,113,-138,113,0.447,0.553,0.913,0.418,3.9,3.9,3.98,4.36,3
2026-03-01,Philadelphia 76ers @ Boston Celtics,Andre Drummond,C3,10.5,8.6,-1.9,18.1,UNDER,STRONG UNDER,76,HIGH,0.541,0.56,112,-131,-131,0.454,0.546,1,0.5,8.58,8.58,8.72,8.56,3
2026-03-01,New Orleans Pelicans @ Los Angeles Clippers,Bennedict Mathurin,C2,5.5,4.65,-0.85,15.5,UNDER,STRONG UNDER,76,HIGH,0.485,0.14,114,-152,-152,0.437,0.563,0.96,0.4496,4.68,4.68,4.48,3.45,1
2026-03-01,Milwaukee Bucks @ Chicago Bulls,Guerschon Yabusele,C2,6.5,5.77,-0.73,11.2,UNDER,STRONG UNDER,76,HIGH,0.631,0.08,-107,-102,-102,0.506,0.494,0.876,0.3748,5.67,5.67,6.38,4.86,3
2026-03-01,Milwaukee Bucks @ Chicago Bulls,Bobby Portis,C3,5.5,7.89,2.39,43.5,OVER,OVER,74,MED,0.827,0.13,109,-136,109,0.454,0.546,0.998,0.4981,7.75,7.75,8.69,9.08,3
2026-03-01,Milwaukee Bucks @ Chicago Bulls,Matas Buzelis,C2,6.5,3.73,-2.77,42.6,UNDER,UNDER,74,MED,0.964,0.28,-115,-106,-106,0.51,0.49,0.998,0.4979,3.48,3.48,5.14,4.63,3
2026-03-01,Milwaukee Bucks @ Chicago Bulls,Kevin Porter Jr.,C2,5.5,3.92,-1.58,28.7,UNDER,UNDER,74,MED,0.936,0.27,113,-143,-143,0.444,0.556,0.954,0.4441,3.7,3.7,5.12,4.94,3
2026-03-01,Minnesota Timberwolves @ Denver Nuggets,Christian Braun,C2,5.5,4.59,-0.91,16.5,UNDER,STRONG UNDER,74,HIGH,0.765,0.5,124,-161,-161,0.42,0.58,0.883,0.3473,4.43,4.43,5.48,4.49,3
