date,game,player_name,cluster,line,prediction,edge,edge_pct,direction,pick,edge_score,ag_score,agreement,role_flag,last7_vals,confidence,model_std,blowout_risk,best_over_odds,best_under_odds,best_odds_for_bet,home_ml,away_ml,imp_over_prob,imp_under_prob,model_win_prob,kelly,m1_xgb,m4_mean,m5_context,m7_matchup,n_books
2026-03-05,Dallas Mavericks (+263) @ Orlando Magic (-325),Brandon Williams,C1,3.5,1.48,-2.02,57.7,UNDER,STRONG UNDER,10.9,0.8,HIGH,NORMAL,,100,0.492,0.2,145,120,120,-325,263,0.473,0.527,1,0.5,1.37,1.37,2.09,2.21,5
2026-03-05,Golden State Warriors (+285) @ Houston Rockets (-355),Pat Spencer,C1,2.5,1.07,-1.43,57.2,UNDER,UNDER,8.6,0.8,HIGH,NORMAL,,100,0.473,0,165,105,105,-355,285,0.436,0.564,0.999,0.499,1.14,1.14,0.71,1.9,5
2026-03-05,Chicago Bulls (+390) @ Phoenix Suns (-510),Oso Ighodaro,C1,8.5,3.72,-4.78,56.2,UNDER,STRONG UNDER,15.3,0.8,HIGH,NORMAL,,100,0.446,0.26,180,100,100,-510,390,0.417,0.583,1,0.5,3.63,3.63,4.19,3.62,5
2026-03-05,Golden State Warriors (+285) @ Houston Rockets (-355),Gui Santos,C1,5.5,2.84,-2.66,48.4,UNDER,STRONG UNDER,12.6,0.8,HIGH,NORMAL,,100,0.279,0.05,155,-115,-115,-355,285,0.423,0.577,1,0.5,2.83,2.83,2.9,2.81,5
2026-03-05,Utah Jazz (+140) @ Washington Wizards (-166),Bilal Coulibaly,C2,3.5,4.58,1.08,30.9,OVER,OVER,7.9,0.8,HIGH,NORMAL,,100,0.492,0,130,122,130,-166,140,0.491,0.509,0.986,0.4876,4.53,4.53,4.88,4.32,5
2026-03-05,Los Angeles Lakers (+155) @ Denver Nuggets (-180),Bruce Brown,C2,3.5,4.33,0.83,23.7,OVER,OVER,7.1,0.8,HIGH,NORMAL,,100,0.625,0.18,123,116,123,-180,155,0.492,0.508,0.908,0.4166,4.16,4.16,5.28,4.66,5
2026-03-05,Los Angeles Lakers (+155) @ Denver Nuggets (-180),Cameron Johnson,C4,3.5,4.27,0.77,22,OVER,OVER,6.9,0.8,HIGH,NORMAL,,98,0.367,0.24,125,123,125,-180,155,0.498,0.502,0.982,0.4838,4.29,4.29,4.18,4.41,5
2026-03-05,Toronto Raptors (+170) @ Minnesota Timberwolves (-200),Donte DiVincenzo,C4,4.5,3.62,-0.88,19.6,UNDER,UNDER,6.9,0.8,HIGH,NORMAL,,94,0.481,0.21,130,-160,-160,-200,170,0.414,0.586,0.966,0.4558,3.68,3.68,3.3,4.32,5
2026-03-05,Dallas Mavericks (+263) @ Orlando Magic (-325),Max Christie,C2,3.5,2.82,-0.68,19.4,UNDER,UNDER,6,0.8,HIGH,NORMAL,,94,0.675,0.25,180,-109,-109,-325,263,0.406,0.594,0.843,0.3359,2.74,2.74,3.28,3.49,5
2026-03-05,Detroit Pistons (+135) @ San Antonio Spurs (-160),Caris LeVert,C2,1.5,3.68,2.18,145.3,OVER,STRONG OVER,12.2,0.8,HIGH,NORMAL,,91,0.264,0.2,-119,-109,-119,-160,135,0.51,0.49,1,0.5,3.66,3.66,3.82,3.94,2
2026-03-05,Dallas Mavericks (+263) @ Orlando Magic (-325),Tristan da Silva,C2,5,3.13,-1.87,37.4,UNDER,STRONG UNDER,10.6,0.8,HIGH,NORMAL,,91,0.709,0.1,180,-160,-160,-325,263,0.367,0.633,0.996,0.4948,3.26,3.26,2.37,2.99,2
2026-03-05,New Orleans Pelicans (-215) @ Sacramento Kings (+180),DeMar DeRozan,C4,2.5,4.08,1.58,63.2,OVER,STRONG OVER,10.3,0.8,HIGH,NORMAL,,90,0.697,0.38,115,-143,115,180,-215,0.441,0.559,0.988,0.4888,4.12,4.12,3.88,4.48,5
2026-03-05,Detroit Pistons (+135) @ San Antonio Spurs (-160),De'Aaron Fox,C4,3.5,4.53,1.03,29.4,OVER,OVER,7.9,0.8,HIGH,NORMAL,,90,0.505,0.41,130,120,130,-160,135,0.489,0.511,0.979,0.4814,4.66,4.66,3.82,4.32,5
2026-03-05,Detroit Pistons (+135) @ San Antonio Spurs (-160),Julian Champagnie,C2,4.5,3.4,-1.1,24.4,UNDER,UNDER,7.7,0.8,HIGH,NORMAL,,90,0.602,0.52,130,120,120,-160,135,0.489,0.511,0.966,0.4688,3.34,3.34,3.75,3.76,5
2026-03-05,Brooklyn Nets (+575) @ Miami Heat (-835),Noah Clowney,C2,4.5,3.78,-0.72,16,UNDER,UNDER,6.7,0.8,HIGH,NORMAL,,89,0.57,0.15,124,125,125,-835,575,0.501,0.499,0.897,0.4073,3.78,3.78,3.81,3.74,5
2026-03-05,Los Angeles Lakers (+155) @ Denver Nuggets (-180),Rui Hachimura,C2,2.5,4.55,2.05,82,OVER,STRONG OVER,11.6,0.8,HIGH,NORMAL,,88,0.374,0.2,-105,-123,-105,-180,155,0.481,0.519,1,0.5,4.63,4.63,4.08,3.66,1
2026-03-05,Toronto Raptors (+170) @ Minnesota Timberwolves (-200),Naz Reid,C2,6.5,5.5,-1,15.4,UNDER,UNDER,8.3,0.8,HIGH,NORMAL,,88,0.72,0.16,190,-130,-130,-200,170,0.379,0.621,0.918,0.4057,5.59,5.59,5,4.12,5
2026-03-05,Utah Jazz (+140) @ Washington Wizards (-166),Cody Williams,C1,3.5,2.23,-1.27,36.3,UNDER,UNDER,8.4,0.8,HIGH,NORMAL,,87,0.356,0.46,170,-110,-110,-166,140,0.414,0.586,1,0.5,2.29,2.29,1.89,2.34,4
2026-03-05,Dallas Mavericks (+263) @ Orlando Magic (-325),Desmond Bane,C4,4.5,5.42,0.92,20.4,OVER,OVER,7.3,0.8,HIGH,NORMAL,,87,0.203,0.29,124,-160,124,-325,263,0.42,0.58,0.999,0.4991,5.43,5.43,5.35,5.05,2
