date,game,player_name,cluster,line,prediction,edge,edge_pct,direction,pick,edge_score,ag_score,agreement,role_flag,last7_vals,confidence,model_std,blowout_risk,best_over_odds,best_under_odds,best_odds_for_bet,home_ml,away_ml,imp_over_prob,imp_under_prob,model_win_prob,kelly,m1_xgb,m4_mean,m5_context,m7_matchup,n_books
2026-03-10,Washington Wizards (+647) @ Miami Heat (-1000),Alex Sarr,C1,1.5,2.56,1.06,70.7,OVER,OVER,7.6,0.8,HIGH,NORMAL,3|2|5|3|1|5|1,81,0.324,0.45,-115,-115,-115,-1000,647,0.5,0.5,0.999,0.4989,2.52,2.52,2.71,1.9,2
2026-03-10,Washington Wizards (+647) @ Miami Heat (-1000),Will Riley,C1,1.5,2.21,0.71,47.3,OVER,OVER,6.3,0.8,HIGH,NORMAL,2|4|3|1|5|3|0,78,0.37,0.4,-167,128,-167,-1000,647,0.588,0.412,0.973,0.464,2.12,2.12,2.56,1.9,1
2026-03-10,Dallas Mavericks (+300) @ Atlanta Hawks (-385),P.J. Washington,C1,2.5,1.73,-0.77,30.8,UNDER,UNDER,6.7,0.8,HIGH,NORMAL,2|2|2|3|1|3|3,78,0.286,0.34,171,-227,-227,-385,300,0.347,0.653,0.995,0.4918,1.68,1.68,1.91,1.65,1
2026-03-10,Memphis Grizzlies (+130) @ Philadelphia 76ers (-155),Quentin Grimes,C1,4.5,2.43,-2.07,46,UNDER,STRONG UNDER,11.3,0.8,HIGH,NORMAL,2|0|2|1|2|3|3,77,0.488,0.61,110,-130,-130,-155,130,0.457,0.543,1,0.5,2.52,2.52,2.07,1.38,4
2026-03-10,Indiana Pacers (+134) @ Sacramento Kings (-160),Jarace Walker,C1,4.5,3.16,-1.34,29.8,UNDER,UNDER,9.3,0.8,MED,NORMAL,6|6|1|2|5|5|1,77,0.603,0.28,200,-118,-118,-160,134,0.381,0.619,0.987,0.4858,3.04,3.04,3.63,2.06,4
2026-03-10,Indiana Pacers (+134) @ Sacramento Kings (-160),DeMar DeRozan,C1,3.5,4.19,0.69,19.7,OVER,OVER,6.1,0.6,MED,NORMAL,5|4|7|5|8|1|2,72,0.618,0.27,170,-106,170,-160,134,0.419,0.581,0.868,0.3952,4.16,4.16,4.32,2.53,4
2026-03-10,Chicago Bulls (+197) @ Golden State Warriors (-238),Guerschon Yabusele,C1,2.5,1.45,-1.05,42,UNDER,UNDER,7.7,0.8,MED,NORMAL,1|1|1|5|2|2|3,68,0.56,0.08,158,-208,-208,-238,197,0.365,0.635,0.97,0.4538,1.32,1.32,1.96,1.57,1
2026-03-10,Phoenix Suns (-115) @ Milwaukee Bucks (-105),Kyle Kuzma,C1,3.5,2.45,-1.05,30,UNDER,UNDER,8.5,0.8,MED,NORMAL,1|0|5|2|4|2|5,68,0.807,0.29,161,-213,-213,-105,-115,0.36,0.64,0.903,0.3482,1.8,2.92,2.51,1.61,1
2026-03-10,Dallas Mavericks (+300) @ Atlanta Hawks (-385),Naji Marshall,C1,2.5,3.94,1.44,57.6,OVER,OVER,8.8,0.8,MED,NORMAL,2|7|6|2|5|3|1,67,0.585,0.32,160,118,160,-385,300,0.456,0.544,0.993,0.4943,3.92,3.92,4.03,2.53,4
2026-03-10,Chicago Bulls (+197) @ Golden State Warriors (-238),Brandin Podziemski,C1,4.5,3.84,-0.66,14.7,UNDER,UNDER,7.3,0.8,MED,NORMAL,3|6|6|3|1|6|4,64,0.826,0.25,160,108,108,-238,197,0.444,0.556,0.788,0.2959,2.91,4.32,4.38,2.48,4
