date,game,player_name,cluster,line,prediction,edge,edge_pct,direction,pick,edge_score,ag_score,agreement,role_flag,last7_vals,confidence,model_std,blowout_risk,best_over_odds,best_under_odds,best_odds_for_bet,home_ml,away_ml,imp_over_prob,imp_under_prob,model_win_prob,kelly,m1_xgb,m4_mean,m5_context,m7_matchup,n_books
2026-03-18,Golden State Warriors (+460) @ Boston Celtics (-625),Will Richard,C1,3.5,2.44,-1.06,30.3,UNDER,UNDER,7.6,0.8,HIGH,NORMAL,2|5|1|4|5|2|3,97,0.383,0,215,-132,-132,-625,460,0.358,0.642,0.997,0.4965,2.36,2.36,2.92,2.74,4
2026-03-18,Los Angeles Lakers (+116) @ Houston Rockets (-139),LeBron James,C1,4.5,5.33,0.83,18.4,OVER,OVER,6.6,0.6,HIGH,NORMAL,7|1|7|5|7|6|5,93,0.702,0.19,120,119,120,-139,116,0.499,0.501,0.881,0.3909,5.36,5.36,5.17,3.59,6
2026-03-18,Denver Nuggets (-800) @ Memphis Grizzlies (+550),Jaylen Wells,C1,3.5,2.86,-0.64,18.3,UNDER,UNDER,6.3,0.8,HIGH,NORMAL,1|3|1|5|3|2|3,92,0.08,0.29,134,-150,-150,550,-800,0.416,0.584,0.984,0.48,2.88,2.88,2.73,2.82,5
2026-03-18,Utah Jazz (+550) @ Minnesota Timberwolves (-800),Cody Williams,C1,4.5,3.71,-0.79,17.6,UNDER,UNDER,7.1,0.8,HIGH,NORMAL,6|3|11|3|2|7|7,91,0.739,0.23,175,-114,-114,-800,550,0.406,0.594,0.857,0.347,3.64,3.64,4.14,3.54,5
2026-03-18,Los Angeles Lakers (+116) @ Houston Rockets (-139),Reed Sheppard,C1,2.5,3.34,0.84,33.6,OVER,OVER,6.9,0.8,HIGH,NORMAL,3|3|3|7|2|5|0,90,0.68,0.35,145,128,145,-139,116,0.482,0.518,0.892,0.4088,3.28,3.28,3.69,2.95,6
2026-03-18,Golden State Warriors (+460) @ Boston Celtics (-625),Sam Hauser,C1,3.5,4.55,1.05,30,OVER,OVER,7.5,0.8,HIGH,NORMAL,7|5|4|7|4|6|4,90,0.48,0.35,135,120,135,-625,460,0.484,0.516,0.986,0.4878,4.52,4.52,4.7,3.71,6
2026-03-18,Oklahoma City Thunder (-2500) @ Brooklyn Nets (+1153),Noah Clowney,C1,3.5,4.54,1.04,29.7,OVER,OVER,7,0.6,HIGH,NORMAL,7|7|3|3|3|6|4,90,0.545,0.38,205,-127,205,1153,-2500,0.369,0.631,0.972,0.4792,4.6,4.6,4.17,3.39,6
2026-03-18,Portland Trail Blazers (-530) @ Indiana Pacers (+400),Jerami Grant,C1,3.5,2.91,-0.59,16.9,UNDER,UNDER,6.2,0.8,HIGH,NORMAL,9|2|2|3|3|2|4,90,0.164,0.15,122,125,125,400,-530,0.503,0.497,0.975,0.4775,2.92,2.92,2.87,2.63,6
2026-03-18,Utah Jazz (+550) @ Minnesota Timberwolves (-800),Isaiah Collier,C1,3.5,2.71,-0.79,22.6,UNDER,UNDER,7,0.8,HIGH,NORMAL,3|2|0|3|2|3|5,89,0.426,0.33,126,120,120,-800,550,0.493,0.507,0.968,0.4707,2.8,2.8,2.17,2.42,5
2026-03-18,Utah Jazz (+550) @ Minnesota Timberwolves (-800),Bones Hyland,C1,2.5,1.82,-0.68,27.2,UNDER,UNDER,6.2,0.8,HIGH,NORMAL,0|1|0|0|1|0|2,88,0.509,0.09,-130,100,100,-800,550,0.531,0.469,0.909,0.409,1.96,1.96,1.05,1.78,1
2026-03-18,Utah Jazz (+550) @ Minnesota Timberwolves (-800),Jaden McDaniels,C1,4.5,3.59,-0.91,20.2,UNDER,UNDER,7.9,0.8,HIGH,NORMAL,2|4|2|2|1|1|7,85,0.743,0.53,180,-120,-120,-800,550,0.396,0.604,0.89,0.379,3.72,3.72,2.88,2.36,5
2026-03-18,Utah Jazz (+550) @ Minnesota Timberwolves (-800),Ace Bailey,C1,4.5,5.04,0.54,12,OVER,OVER,6,0.6,HIGH,NORMAL,8|4|2|2|6|4|1,83,0.721,0.17,210,-142,210,-800,550,0.355,0.645,0.773,0.3325,5.12,5.12,4.58,2.98,5
2026-03-18,Los Angeles Clippers (+105) @ New Orleans Pelicans (-128),Brook Lopez,C1,4.5,3.68,-0.82,18.2,UNDER,UNDER,7.4,0.8,HIGH,NORMAL,6|1|4|3|7|0|1,82,0.384,0.47,200,122,122,-128,105,0.425,0.575,0.984,0.4854,3.72,3.72,3.47,2.93,5
2026-03-18,Golden State Warriors (+460) @ Boston Celtics (-625),Baylor Scheierman,C1,4.5,5.79,1.29,28.7,OVER,OVER,7.8,0.6,MED,NORMAL,4|2|10|6|7|9|5,77,0.958,0.15,125,114,125,-625,460,0.487,0.513,0.911,0.4199,5.76,5.76,5.95,4.28,4
2026-03-18,Atlanta Hawks (-335) @ Dallas Mavericks (+265),Jock Landale,C1,4.5,5.42,0.92,20.4,OVER,OVER,6.8,0.4,MED,NORMAL,5|1|1|3|2|6|1,73,1.168,0.13,210,-147,210,265,-335,0.352,0.648,0.785,0.3413,5.68,5.68,3.92,2.94,4
2026-03-18,Golden State Warriors (+460) @ Boston Celtics (-625),Jaylen Brown,C1,6.5,7.65,1.15,17.7,OVER,OVER,8.8,0.6,MED,NORMAL,11|7|9|2|6|4|7,72,1.444,0.2,145,110,145,-625,460,0.462,0.538,0.787,0.3201,7.8,7.8,6.79,3.85,6
2026-03-18,Denver Nuggets (-800) @ Memphis Grizzlies (+550),Cedric Coward,C1,5.5,6.36,0.86,15.6,OVER,OVER,7,0.6,MED,NORMAL,8|3|2|7|16|3|0,68,0.826,0.23,170,-123,170,550,-800,0.402,0.598,0.851,0.3817,6.4,6.4,6.12,4.03,5
2026-03-18,Toronto Raptors (-295) @ Chicago Bulls (+240),Brandon Ingram,C1,5.5,5.05,-0.45,8.2,UNDER,UNDER,6.1,0.8,HIGH,NORMAL,2|5|6|4|6|7|1,67,0.68,0.54,130,106,106,240,-295,0.472,0.528,0.746,0.2532,5.04,5.04,5.12,3.95,6
2026-03-18,Golden State Warriors (+460) @ Boston Celtics (-625),Gui Santos,C1,6.5,5.57,-0.93,14.3,UNDER,UNDER,8.4,0.8,MED,NORMAL,6|11|8|5|3|7|4,66,1.094,0.11,190,-132,-132,-625,460,0.377,0.623,0.802,0.2703,5.44,5.44,6.32,3.91,6
2026-03-18,Portland Trail Blazers (-530) @ Indiana Pacers (+400),Ivica Zubac,C1,7.5,10.03,2.53,33.7,OVER,OVER,12.6,0.6,LOW,NORMAL,7|20|9|6|8|7|7,65,1.806,0.23,185,109,185,400,-530,0.423,0.577,0.919,0.4376,10.04,10.04,9.96,5.26,5
2026-03-18,Toronto Raptors (-295) @ Chicago Bulls (+240),Josh Giddey,C1,9.5,7.27,-2.23,23.5,UNDER,UNDER,11.6,0.8,LOW,NORMAL,14|9|8|13|8|11|15,65,1.834,0.25,165,-135,-135,240,-295,0.396,0.604,0.888,0.3684,7.12,7.12,8.11,5.25,6
2026-03-18,Los Angeles Lakers (+116) @ Houston Rockets (-139),Tari Eason,C1,5.5,6.6,1.1,20,OVER,OVER,8.1,0.6,MED,NORMAL,5|5|6|3|8|8|9,65,1.351,0.35,200,112,200,-139,116,0.414,0.586,0.792,0.344,6.68,6.68,6.12,3.65,6
2026-03-18,Golden State Warriors (+460) @ Boston Celtics (-625),Jayson Tatum,C1,7.5,8.47,0.97,12.9,OVER,OVER,8,0.6,MED,NORMAL,12|3|5|14|7,64,1.272,0.28,135,-105,135,-625,460,0.454,0.546,0.777,0.3059,8.5,8.5,8.31,4.88,6
2026-03-18,Toronto Raptors (-295) @ Chicago Bulls (+240),Jakob Poeltl,C1,8.5,7.43,-1.07,12.6,UNDER,UNDER,9.4,0.8,MED,NORMAL,10|7|7|10|5|6|18,64,1.5,0.27,175,108,108,240,-295,0.431,0.569,0.762,0.2708,7.52,7.52,6.89,4.46,6
2026-03-18,Utah Jazz (+550) @ Minnesota Timberwolves (-800),Julius Randle,C1,7.5,6.57,-0.93,12.4,UNDER,UNDER,8.8,0.8,MED,NORMAL,8|9|7|6|4|7|7,64,1.038,0.2,165,110,110,-800,550,0.442,0.558,0.815,0.3234,6.56,6.56,6.65,4.01,5
2026-03-18,Los Angeles Lakers (+116) @ Houston Rockets (-139),Alperen Sengun,C1,7.5,8.72,1.22,16.3,OVER,OVER,9,0.6,MED,NORMAL,6|13|7|6|6|12|2,59,1.43,0.54,200,108,200,-139,116,0.409,0.591,0.803,0.3523,8.8,8.8,8.29,4.63,6
2026-03-18,Oklahoma City Thunder (-2500) @ Brooklyn Nets (+1153),Isaiah Hartenstein,C1,7.5,8.21,0.71,9.5,OVER,OVER,7.4,0.6,MED,NORMAL,7|9|8|5|5|12|7,59,1.436,0.05,205,-101,205,1153,-2500,0.395,0.605,0.689,0.2686,8.28,8.28,7.83,4.38,6
2026-03-18,Golden State Warriors (+460) @ Boston Celtics (-625),Neemias Queta,C1,9.5,8.61,-0.89,9.4,UNDER,UNDER,9,0.8,MED,NORMAL,2|15|11|4|10|10|3,59,1.213,0.28,175,112,112,-625,460,0.435,0.565,0.768,0.2804,8.56,8.56,8.92,5.4,6
2026-03-18,Golden State Warriors (+460) @ Boston Celtics (-625),Draymond Green,C1,5.5,5.05,-0.45,8.2,UNDER,UNDER,6.5,0.8,MED,NORMAL,6|2|5|4|2|7|8,57,0.838,0.17,190,-121,-121,-625,460,0.386,0.614,0.704,0.1729,5.12,5.12,4.68,2.95,6
2026-03-18,Toronto Raptors (-295) @ Chicago Bulls (+240),Leonard Miller,C1,6.5,3.23,-3.27,50.3,UNDER,UNDER,13.8,0.8,LOW,NORMAL,5|3|9|11|9|8|7,55,2.046,0.45,165,-115,-115,240,-295,0.414,0.586,0.945,0.4409,2.88,2.88,5.2,4.6,6
