date,game,player_name,cluster,line,prediction,edge,edge_pct,direction,pick,edge_score,ag_score,agreement,role_flag,last7_vals,confidence,model_std,blowout_risk,best_over_odds,best_under_odds,best_odds_for_bet,home_ml,away_ml,imp_over_prob,imp_under_prob,model_win_prob,kelly,m1_xgb,m4_mean,m5_context,m7_matchup,n_books
2026-03-23,Milwaukee Bucks (+567) @ Los Angeles Clippers (-850),Taurean Prince,C1,2.5,1.72,-0.78,31.2,UNDER,UNDER,6.3,0.8,HIGH,NORMAL,3|1|2|2|2|2|2,100,0.233,0.27,140,-159,-159,-850,567,0.404,0.596,0.995,0.4935,1.72,1.72,1.74,2.39,6
2026-03-23,Oklahoma City Thunder (-1100) @ Philadelphia 76ers (+675),Jalen Williams,C3,3.5,4.58,1.08,30.9,OVER,OVER,8.7,0.8,HIGH,NORMAL,5|4|0|5|3|3|4,100,0.775,0.23,120,-145,120,675,-1100,0.434,0.566,0.918,0.4248,4.72,4.72,3.77,5.48,6
2026-03-23,Oklahoma City Thunder (-1100) @ Philadelphia 76ers (+675),Cason Wallace,C1,2.5,3.26,0.76,30.4,OVER,OVER,6.6,0.8,HIGH,NORMAL,0|2|3|6|2|3|2,100,0.366,0.25,185,100,185,675,-1100,0.412,0.588,0.981,0.4854,3.28,3.28,3.13,2.86,6
2026-03-23,Golden State Warriors (-125) @ Dallas Mavericks (+106),Will Richard,C1,3.5,2.46,-1.04,29.7,UNDER,UNDER,7.4,0.8,HIGH,NORMAL,4|5|2|3|2|1|5,100,0.209,0.07,215,-118,-118,106,-125,0.37,0.63,1,0.5,2.44,2.44,2.57,2.95,6
2026-03-23,Oklahoma City Thunder (-1100) @ Philadelphia 76ers (+675),Trendon Watford,C1,4.5,3.18,-1.32,29.3,UNDER,UNDER,8.8,0.8,HIGH,NORMAL,4|2|5|2|3|2|9,100,0.626,0.26,125,-135,-135,675,-1100,0.436,0.564,0.983,0.48,3.2,3.2,3.07,2.82,6
2026-03-23,Los Angeles Lakers (-130) @ Detroit Pistons (+110),Daniss Jenkins,C1,3.5,2.09,-1.41,40.3,UNDER,UNDER,8.8,0.8,HIGH,NORMAL,4|3|2|4|2|2|7,90,0.603,0.31,215,-130,-130,110,-130,0.36,0.64,0.99,0.4885,2.08,2.08,2.14,2.49,6
2026-03-23,Milwaukee Bucks (+567) @ Los Angeles Clippers (-850),Ousmane Dieng,C1,5,3.07,-1.93,38.6,UNDER,STRONG UNDER,10.9,0.8,HIGH,NORMAL,8|4|10|0|5|1|2,90,0.363,0.38,120,122,122,-850,567,0.502,0.498,1,0.5,3,3,3.46,3.16,6
2026-03-23,Memphis Grizzlies (+625) @ Atlanta Hawks (-1000),Ty Jerome,C1,3.5,2.92,-0.58,16.6,UNDER,UNDER,6,0.8,HIGH,NORMAL,3|4|2|2|1|9|1,90,0.538,0.14,215,-137,-137,-1000,625,0.354,0.646,0.859,0.3329,2.88,2.88,3.19,3.24,5
2026-03-23,Los Angeles Lakers (-130) @ Detroit Pistons (+110),Jaxson Hayes,C1,4.5,3.78,-0.72,16,UNDER,UNDER,7.1,0.8,HIGH,NORMAL,4|4|4|0|3|5|7,89,0.614,0,128,-150,-150,110,-130,0.422,0.578,0.88,0.35,3.8,3.8,3.7,2.9,5
2026-03-23,Brooklyn Nets (+650) @ Portland Trail Blazers (-1000),Nolan Traore,C1,1.5,2.01,0.51,34,OVER,OVER,6,0.8,HIGH,NORMAL,1|2|1|1|3|2|2,88,0.291,0.27,-175,135,-175,-1000,650,0.599,0.401,0.955,0.4381,2.04,2.04,1.81,2.39,1
