date,game,player_name,cluster,line,prediction,edge,edge_pct,direction,pick,confidence,agreement,model_std,blowout_risk,best_over_odds,best_under_odds,best_odds_for_bet,imp_over_prob,imp_under_prob,model_win_prob,kelly,m1_xgb,m4_mean,m5_context,m7_matchup,n_books
2026-03-01,Detroit Pistons @ Orlando Magic,Paolo Banchero,C4,1.5,1.87,0.37,24.7,OVER,PASS,94,HIGH,0.239,0.02,182,-225,182,0.339,0.661,0.891,0.4156,1.63,1.63,1.61,2.23,3
2026-03-01,Detroit Pistons @ Orlando Magic,Tobias Harris,C3,1.5,1.13,-0.37,24.7,UNDER,PASS,94,HIGH,0.225,0.21,161,-199,-199,0.365,0.635,0.891,0.337,1.28,1.28,1.47,0.9,3
2026-03-01,Minnesota Timberwolves @ Denver Nuggets,Jaden McDaniels,C2,1.5,1.17,-0.33,22,UNDER,PASS,92,HIGH,0.348,0.18,139,-178,-178,0.395,0.605,0.829,0.2623,1.22,1.22,0.73,1.09,3
2026-03-01,Milwaukee Bucks @ Chicago Bulls,Isaac Okoro,C2,1.5,1.23,-0.27,18,UNDER,PASS,86,HIGH,0.21,0.13,-105,-115,-115,0.489,0.511,0.816,0.3022,1.11,1.11,0.9,1.41,3
2026-03-01,New Orleans Pelicans @ Los Angeles Clippers,John Collins,C3,1.5,1.18,-0.32,21.3,UNDER,PASS,85,HIGH,0.216,0.05,124,-166,-166,0.417,0.583,0.857,0.3098,1.35,1.35,1.48,0.92,1
2026-03-01,Minnesota Timberwolves @ Denver Nuggets,Christian Braun,C2,1.5,1.17,-0.33,22,UNDER,PASS,82,HIGH,0.289,0.5,126,-154,-154,0.422,0.578,0.864,0.3273,0.95,0.95,1.39,1.5,3
2026-03-01,New Orleans Pelicans @ Los Angeles Clippers,Bennedict Mathurin,C2,1.5,1.26,-0.24,16,UNDER,PASS,77,HIGH,0.327,0.14,-118,-112,-112,0.506,0.494,0.769,0.2551,1.36,1.36,0.81,1.11,1
2026-03-01,Oklahoma City Thunder @ Dallas Mavericks,Cason Wallace,C2,1.5,1.23,-0.27,18,UNDER,PASS,76,HIGH,0.109,0.43,-103,-120,-120,0.482,0.518,0.816,0.2976,1.15,1.15,1.08,1.36,3
2026-03-01,Oklahoma City Thunder @ Dallas Mavericks,Shai Gilgeous-Alexander,C4,1.5,1.87,0.37,24.7,OVER,PASS,74,HIGH,0.294,0.67,118,-145,118,0.437,0.563,0.891,0.3993,1.69,1.69,1.67,2.15,3
2026-03-01,Milwaukee Bucks @ Chicago Bulls,Guerschon Yabusele,C2,1.5,1.65,0.15,10,OVER,PASS,74,HIGH,0.165,0.08,-172,140,-172,0.603,0.397,0.691,0.0798,1.51,1.51,1.69,1.86,3
2026-03-01,Cleveland Cavaliers @ Brooklyn Nets,Noah Clowney,C2,1.5,1.35,-0.15,10,UNDER,PASS,74,HIGH,0.241,0.15,-154,128,128,0.58,0.42,0.691,0.2248,1.41,1.41,1.22,1.25,3
2026-03-01,New Orleans Pelicans @ Los Angeles Clippers,Brook Lopez,C2,1.5,1.7,0.2,13.3,OVER,PASS,73,HIGH,0.158,0.19,-166,124,-166,0.583,0.417,0.748,0.1648,1.81,1.81,1.61,1.53,1
2026-03-01,San Antonio Spurs @ New York Knicks,Jose Alvarado,C2,1.5,1.75,0.25,16.7,OVER,PASS,71,HIGH,0.24,0.57,-111,-112,-111,0.499,0.501,0.798,0.2869,1.69,1.69,2.03,1.83,2
2026-03-01,Oklahoma City Thunder @ Dallas Mavericks,Chet Holmgren,C3,1.5,1.4,-0.1,6.7,UNDER,PASS,69,HIGH,0.282,0.2,134,-166,-166,0.406,0.594,0.631,0.0092,1.53,1.53,1.78,1.21,3
2026-03-01,Detroit Pistons @ Orlando Magic,Desmond Bane,C4,2.5,2.66,0.16,6.4,OVER,PASS,69,HIGH,0.28,0.29,132,-172,132,0.405,0.595,0.703,0.239,2.71,2.71,3,2.59,3
2026-03-01,Detroit Pistons @ Orlando Magic,Duncan Robinson,C2,2.5,2.4,-0.1,4,UNDER,PASS,65,HIGH,0.324,0.01,-115,-110,-110,0.505,0.495,0.621,0.1021,2.66,2.66,2.88,2.01,3
2026-03-01,San Antonio Spurs @ New York Knicks,Julian Champagnie,C2,1.5,1.85,0.35,23.3,OVER,PASS,64,MED,0.544,0.52,146,148,146,0.502,0.498,0.74,0.281,1.77,1.77,2.42,1.97,3
2026-03-01,Minnesota Timberwolves @ Denver Nuggets,Jamal Murray,C4,2.5,2.32,-0.18,7.2,UNDER,PASS,60,HIGH,0.156,0.32,-152,118,118,0.568,0.432,0.726,0.2469,2.4,2.4,2.18,2.2,3
2026-03-01,San Antonio Spurs @ New York Knicks,Jalen Brunson,C4,2.5,2.5,0,0,UNDER,PASS,59,HIGH,0.193,0.11,-112,-110,-110,0.502,0.498,0.5,0,2.55,2.55,2.4,2.41,3
2026-03-01,Memphis Grizzlies @ Indiana Pacers,Obi Toppin,C2,1.5,1.46,-0.04,2.7,UNDER,PASS,57,HIGH,0.264,0.21,131,-174,-174,0.405,0.595,0.553,0,1.32,1.32,1.58,1.67,1
2026-03-01,Memphis Grizzlies @ Indiana Pacers,Jaylen Wells,C2,1.5,1.62,0.12,8,OVER,PASS,55,HIGH,0.289,0.32,-132,101,-132,0.533,0.467,0.655,0.0998,1.77,1.77,1.52,1.39,1
2026-03-01,Cleveland Cavaliers @ Brooklyn Nets,James Harden,C4,2.5,2.62,0.12,4.8,OVER,PASS,53,HIGH,0.295,0.34,-103,-114,-103,0.488,0.512,0.655,0.1498,2.77,2.77,2.52,2.38,2
2026-03-01,Oklahoma City Thunder @ Dallas Mavericks,Naji Marshall,C2,1,1.04,0.04,4,OVER,PASS,52,HIGH,0.233,0.47,178,155,178,0.478,0.522,0.553,0.1509,0.87,0.87,0.67,1.29,2
2026-03-01,New Orleans Pelicans @ Los Angeles Clippers,Kawhi Leonard,C4,2.5,2.2,-0.3,12,UNDER,PASS,51,HIGH,0.224,0.64,104,-138,-138,0.458,0.542,0.841,0.3108,2.06,2.06,2.11,2.42,1
2026-03-01,Oklahoma City Thunder @ Dallas Mavericks,Isaiah Joe,C2,2.5,2.17,-0.33,13.2,UNDER,PASS,49,MED,0.558,0.42,136,144,144,0.508,0.492,0.723,0.2653,2.23,2.23,2.78,2.07,3
2026-03-01,Oklahoma City Thunder @ Dallas Mavericks,Khris Middleton,C2,1.5,1.5,0,0,UNDER,PASS,49,HIGH,0.237,0.36,124,-155,-155,0.423,0.577,0.5,0,1.55,1.55,1.21,1.43,3
2026-03-01,Philadelphia 76ers @ Boston Celtics,Payton Pritchard,C2,2.5,2.19,-0.31,12.4,UNDER,PASS,48,MED,0.494,0.48,-120,-106,-106,0.515,0.485,0.735,0.227,2.47,2.47,2.27,1.76,3
2026-03-01,Philadelphia 76ers @ Boston Celtics,Tyrese Maxey,C4,2.5,2.63,0.13,5.2,OVER,PASS,47,MED,0.568,0.23,140,130,140,0.489,0.511,0.591,0.1494,3.07,3.07,2.22,1.96,3
2026-03-01,Philadelphia 76ers @ Boston Celtics,Sam Hauser,C2,2.5,2.23,-0.27,10.8,UNDER,PASS,45,MED,0.529,0.43,-108,-118,-118,0.49,0.51,0.695,0.1675,2.41,2.41,2.71,1.97,3
2026-03-01,Minnesota Timberwolves @ Denver Nuggets,Anthony Edwards,C4,3.5,3.17,-0.33,9.4,UNDER,PASS,43,MED,0.671,0.34,120,-150,-150,0.431,0.569,0.689,0.1112,3.2,3.2,3.63,3.11,3
