date,game,player_name,cluster,line,prediction,edge,edge_pct,direction,pick,edge_score,ag_score,agreement,role_flag,last7_vals,confidence,model_std,blowout_risk,best_over_odds,best_under_odds,best_odds_for_bet,home_ml,away_ml,imp_over_prob,imp_under_prob,model_win_prob,kelly,m1_xgb,m4_mean,m5_context,m7_matchup,n_books
2026-03-04,Atlanta Hawks (-102) @ Milwaukee Bucks (-118),Bobby Portis,C3,4.5,7.89,3.39,75.3,OVER,STRONG OVER,15.2,0.8,HIGH,NORMAL,,100,0.675,0.13,125,120,125,-118,-102,0.494,0.506,1,0.5,7.75,7.75,8.69,8.94,5
2026-03-04,Atlanta Hawks (-102) @ Milwaukee Bucks (-118),Ryan Rollins,C1,4.5,1.85,-2.65,58.9,UNDER,STRONG UNDER,12.6,0.8,HIGH,NORMAL,,100,0.5,0.18,126,110,110,-118,-102,0.482,0.518,1,0.5,1.75,1.75,2.45,2.73,5
2026-03-04,Atlanta Hawks (-102) @ Milwaukee Bucks (-118),Myles Turner,C2,4.5,6.83,2.33,51.8,OVER,STRONG OVER,12.1,0.8,HIGH,NORMAL,,100,0.734,0.04,140,112,140,-118,-102,0.469,0.531,0.999,0.4991,6.78,6.78,7.14,4.99,5
2026-03-04,Charlotte Hornets (+205) @ Boston Celtics (-250),Neemias Queta,C1,7.5,3.85,-3.65,48.7,UNDER,STRONG UNDER,14.8,0.8,HIGH,NORMAL,,100,0.64,0.25,135,108,108,-250,205,0.47,0.53,1,0.5,3.96,3.96,3.25,2.84,5
2026-03-04,Utah Jazz (+330) @ Philadelphia 76ers (-420),Dominick Barlow,C1,4.5,2.82,-1.68,37.3,UNDER,STRONG UNDER,10.3,0.8,HIGH,NORMAL,,100,0.305,0.18,125,120,120,-420,330,0.494,0.506,1,0.5,2.88,2.88,2.46,2.13,5
2026-03-04,Oklahoma City Thunder (-180) @ New York Knicks (+150),Josh Hart,C3,6.5,8.84,2.34,36,OVER,STRONG OVER,12.6,0.8,HIGH,NORMAL,,100,0.791,0.26,200,116,200,150,-180,0.419,0.581,0.998,0.4985,8.92,8.92,8.4,8.24,5
2026-03-04,Utah Jazz (+330) @ Philadelphia 76ers (-420),Keyonte George,C4,2.5,3.3,0.8,32,OVER,OVER,7.6,0.8,HIGH,NORMAL,,100,0.508,0.25,165,110,165,-420,330,0.442,0.558,0.942,0.4534,3.26,3.26,3.58,4.77,5
2026-03-04,Indiana Pacers (+475) @ Los Angeles Clippers (-650),Pascal Siakam,C3,5.5,6.9,1.4,25.5,OVER,OVER,9.8,0.8,HIGH,NORMAL,,100,0.572,0.04,155,-106,155,-650,475,0.433,0.567,0.993,0.4942,6.99,6.99,6.38,7.6,5
2026-03-04,Atlanta Hawks (-102) @ Milwaukee Bucks (-118),Nickeil Alexander-Walker,C2,3.5,2.68,-0.82,23.4,UNDER,UNDER,6,0.6,HIGH,NORMAL,,100,0.514,0.09,125,-154,-154,-118,-102,0.423,0.577,0.945,0.4301,2.62,2.62,3.02,3.57,5
2026-03-04,Charlotte Hornets (+205) @ Boston Celtics (-250),Coby White,C4,2.5,4.15,1.65,66,OVER,STRONG OVER,10.6,0.8,HIGH,NORMAL,,90,0.671,0.38,130,-160,130,-250,205,0.414,0.586,0.993,0.4938,4.12,4.12,4.31,4.78,5
2026-03-04,Oklahoma City Thunder (-180) @ New York Knicks (+150),Alex Caruso,C2,2.5,3.5,1,40,OVER,OVER,7.7,0.8,HIGH,NORMAL,,90,0.31,0.4,155,120,155,150,-180,0.463,0.537,0.999,0.4992,3.44,3.44,3.79,3.51,5
2026-03-04,Portland Trail Blazers (-327) @ Memphis Grizzlies (+265),Jaylen Wells,C2,2.5,3.43,0.93,37.2,OVER,OVER,7.6,0.8,HIGH,NORMAL,,90,0.587,0.32,150,114,150,265,-327,0.461,0.539,0.943,0.4525,3.37,3.37,3.76,3.81,5
2026-03-04,Indiana Pacers (+475) @ Los Angeles Clippers (-650),Kris Dunn,C2,4.5,3.1,-1.4,31.1,UNDER,UNDER,8.9,0.8,HIGH,NORMAL,,90,0.508,0.5,128,128,128,-650,475,0.5,0.5,0.997,0.4973,3.16,3.16,2.77,3.03,5
2026-03-04,Charlotte Hornets (+205) @ Boston Celtics (-250),Derrick White,C4,3.5,4.49,0.99,28.3,OVER,OVER,8.1,0.8,HIGH,NORMAL,,90,0.598,0.46,165,102,165,-250,205,0.433,0.567,0.951,0.4607,4.38,4.38,5.1,5.39,5
2026-03-04,Indiana Pacers (+475) @ Los Angeles Clippers (-650),Jay Huff,C1,4.5,1.52,-2.98,66.2,UNDER,STRONG UNDER,13.3,0.8,HIGH,NORMAL,,88,0.436,0,112,-145,-145,-650,475,0.444,0.556,1,0.5,1.61,1.61,1,1.64,1
2026-03-04,Portland Trail Blazers (-327) @ Memphis Grizzlies (+265),Scoot Henderson,C4,2.5,3.11,0.61,24.4,OVER,OVER,6.9,0.8,HIGH,NORMAL,,88,0.727,0.07,-135,104,-135,265,-327,0.54,0.46,0.799,0.2638,3.09,3.09,3.24,4.63,1
2026-03-04,Indiana Pacers (+475) @ Los Angeles Clippers (-650),Bennedict Mathurin,C2,5.5,4.65,-0.85,15.5,UNDER,UNDER,7.7,0.8,HIGH,NORMAL,,88,0.485,0.14,130,108,108,-650,475,0.475,0.525,0.96,0.4615,4.68,4.68,4.48,3.45,5
2026-03-04,Charlotte Hornets (+205) @ Boston Celtics (-250),Jaylen Brown,C4,6.5,5.56,-0.94,14.5,UNDER,UNDER,7.8,0.8,HIGH,NORMAL,,87,0.687,0.13,145,-110,-110,-250,205,0.438,0.562,0.914,0.4097,5.68,5.68,4.84,4.76,5
2026-03-04,Oklahoma City Thunder (-180) @ New York Knicks (+150),Cason Wallace,C2,3.5,2.78,-0.72,20.6,UNDER,UNDER,6.3,0.8,HIGH,NORMAL,,86,0.41,0.43,134,-160,-160,150,-180,0.41,0.59,0.96,0.448,2.78,2.78,2.76,2.95,5
2026-03-04,Charlotte Hornets (+205) @ Boston Celtics (-250),Baylor Scheierman,C1,4.5,2.04,-2.46,54.7,UNDER,UNDER,12.1,0.8,MED,NORMAL,,80,0.98,0.27,160,-112,-112,-250,205,0.421,0.579,0.994,0.4936,1.93,1.93,2.65,2.77,5
2026-03-04,Oklahoma City Thunder (-180) @ New York Knicks (+150),Jalen Brunson,C4,2.5,3.23,0.73,29.2,OVER,OVER,7.2,0.8,MED,NORMAL,,80,0.837,0.11,135,128,135,150,-180,0.492,0.508,0.808,0.3329,3.29,3.29,2.9,4.24,5
2026-03-04,Oklahoma City Thunder (-180) @ New York Knicks (+150),Chet Holmgren,C3,8.5,7.73,-0.77,9.1,UNDER,UNDER,7,0.8,HIGH,NORMAL,,79,0.781,0.2,180,-141,-141,150,-180,0.379,0.621,0.838,0.3048,7.92,7.92,6.63,6.97,5
2026-03-04,Atlanta Hawks (-102) @ Milwaukee Bucks (-118),Jock Landale,C1,5,3.25,-1.75,35,UNDER,UNDER,10.3,0.8,MED,NORMAL,,77,0.856,0,128,106,106,-118,-102,0.475,0.525,0.98,0.4806,3.15,3.15,3.78,3.27,4
2026-03-04,Atlanta Hawks (-102) @ Milwaukee Bucks (-118),Dyson Daniels,C3,6.5,5.05,-1.45,22.3,UNDER,UNDER,8.3,0.6,MED,NORMAL,,68,1.164,0.57,190,-142,-142,-118,-102,0.37,0.63,0.894,0.3717,4.96,4.96,5.52,7.23,5
2026-03-04,Atlanta Hawks (-102) @ Milwaukee Bucks (-118),Jonathan Kuminga,C3,5.5,4.68,-0.82,14.9,UNDER,UNDER,6.8,0.6,MED,NORMAL,,67,0.989,0,170,-115,-115,-118,-102,0.409,0.591,0.796,0.2807,4.72,4.72,4.44,6.88,5
2026-03-04,Utah Jazz (+330) @ Philadelphia 76ers (-420),Andre Drummond,C3,10.5,8.6,-1.9,18.1,UNDER,UNDER,11.3,0.8,MED,NORMAL,,62,1.03,0.56,170,104,104,-420,330,0.43,0.57,0.967,0.4676,8.58,8.58,8.72,8.81,5
2026-03-04,Atlanta Hawks (-102) @ Milwaukee Bucks (-118),Jalen Johnson,C3,10.5,9.33,-1.17,11.1,UNDER,UNDER,8.9,0.8,MED,NORMAL,,62,0.817,0.18,160,104,104,-118,-102,0.44,0.56,0.924,0.4255,9.3,9.3,9.53,8.51,5
2026-03-04,Atlanta Hawks (-102) @ Milwaukee Bucks (-118),Giannis Antetokounmpo,C3,10.5,11.62,1.12,10.7,OVER,OVER,7.4,0.6,HIGH,NORMAL,,61,0.529,0.69,160,115,160,-118,-102,0.453,0.547,0.983,0.4862,11.71,11.71,11.09,10.19,5
2026-03-04,Charlotte Hornets (+205) @ Boston Celtics (-250),Miles Bridges,C4,4.5,7.2,2.7,60,OVER,OVER,13.5,0.8,MED,NORMAL,,60,1.21,0.64,128,117,128,-250,205,0.488,0.512,0.987,0.4884,7.42,7.42,5.95,4.92,5
2026-03-04,Portland Trail Blazers (-327) @ Memphis Grizzlies (+265),Donovan Clingan,C3,13.5,8.08,-5.42,40.1,UNDER,UNDER,15,0.8,LOW,NORMAL,,55,1.524,0.41,205,-123,-123,265,-327,0.373,0.627,1,0.5,7.8,7.8,9.67,10.14,5
2026-03-04,Oklahoma City Thunder (-180) @ New York Knicks (+150),Karl-Anthony Towns,C4,12.5,10.81,-1.69,13.5,UNDER,UNDER,11,0.8,MED,NORMAL,,55,1.446,0.33,190,-115,-115,150,-180,0.392,0.608,0.879,0.3699,10.71,10.71,11.36,7.89,5
2026-03-04,Portland Trail Blazers (-327) @ Memphis Grizzlies (+265),Deni Avdija,C3,6.5,7.53,1.03,15.8,OVER,OVER,8.6,0.8,LOW,NORMAL,,54,2.13,0.23,180,-137,180,265,-327,0.382,0.618,0.686,0.2558,7.2,7.2,9.39,9.62,5
2026-03-04,Utah Jazz (+330) @ Philadelphia 76ers (-420),Adem Bona,C1,5.5,4.54,-0.96,17.5,UNDER,UNDER,6.8,0.6,LOW,NORMAL,,53,1.825,0.11,145,-106,-106,-420,330,0.442,0.558,0.701,0.192,4.14,4.14,6.82,4.65,4
2026-03-04,Utah Jazz (+330) @ Philadelphia 76ers (-420),Kyle Filipowski,C2,8.5,6.61,-1.89,22.2,UNDER,UNDER,10,0.6,LOW,NORMAL,,43,2.172,0.64,150,-117,-117,-420,330,0.426,0.574,0.808,0.2917,6.15,6.15,9.16,6.5,5
2026-03-04,Atlanta Hawks (-102) @ Milwaukee Bucks (-118),Onyeka Okongwu,C3,7.5,8.32,0.82,10.9,OVER,OVER,7.3,0.8,LOW,NORMAL,,36,1.531,0.43,200,106,200,-118,-102,0.407,0.593,0.704,0.278,8.03,8.03,9.96,9.5,5
2026-03-04,Indiana Pacers (+475) @ Los Angeles Clippers (-650),Andrew Nembhard,C2,2.5,2.86,0.36,14.4,OVER,PASS,5.4,0.8,HIGH,NORMAL,,87,0.636,0.09,123,-150,123,-650,475,0.428,0.572,0.714,0.2407,2.7,2.7,3.74,3.66,5
2026-03-04,Indiana Pacers (+475) @ Los Angeles Clippers (-650),Brook Lopez,C2,4.5,5.05,0.55,12.2,OVER,PASS,5.5,0.6,HIGH,NORMAL,,83,0.673,0.19,145,102,145,-650,475,0.452,0.548,0.793,0.3251,5.08,5.08,4.89,3.87,5
2026-03-04,Indiana Pacers (+475) @ Los Angeles Clippers (-650),Aaron Nesmith,C2,3.5,3.95,0.45,12.9,OVER,PASS,5.5,0.8,HIGH,NORMAL,,72,0.544,0.12,-122,-106,-122,-650,475,0.516,0.484,0.796,0.2736,3.87,3.87,4.38,3.94,1
2026-03-04,Charlotte Hornets (+205) @ Boston Celtics (-250),Brandon Miller,C4,4.5,4.32,-0.18,4,UNDER,PASS,4.4,0.8,HIGH,NORMAL,,71,0.587,0.23,165,100,100,-250,205,0.43,0.57,0.62,0.12,4.41,4.41,3.83,4.23,5
2026-03-04,Oklahoma City Thunder (-180) @ New York Knicks (+150),Luguentz Dort,C2,3.5,3.86,0.36,10.3,OVER,PASS,5,0.8,HIGH,NORMAL,,70,0.363,0.48,215,-122,215,150,-180,0.366,0.634,0.839,0.3821,3.85,3.85,3.9,3.51,5
2026-03-04,Portland Trail Blazers (-327) @ Memphis Grizzlies (+265),Toumani Camara,C2,5.5,5.32,-0.18,3.3,UNDER,PASS,5,0.8,HIGH,NORMAL,,70,0.396,0.27,205,-143,-143,265,-327,0.358,0.642,0.675,0.1051,5.35,5.35,5.14,4.28,5
2026-03-04,Charlotte Hornets (+205) @ Boston Celtics (-250),LaMelo Ball,C4,4.5,4.91,0.41,9.1,OVER,PASS,4.3,0.4,HIGH,NORMAL,,69,0.694,0.59,210,-142,210,-250,205,0.355,0.645,0.723,0.2955,5.06,5.06,4.08,4.16,5
2026-03-04,Portland Trail Blazers (-327) @ Memphis Grizzlies (+265),Jrue Holiday,C2,4.5,4.89,0.39,8.7,OVER,PASS,5.2,0.8,HIGH,NORMAL,,68,0.336,0.53,190,-122,190,265,-327,0.386,0.614,0.877,0.4061,4.89,4.89,4.85,4.57,5
