date,game,player_name,cluster,line,prediction,edge,edge_pct,direction,pick,edge_score,ag_score,agreement,role_flag,last7_vals,confidence,model_std,blowout_risk,best_over_odds,best_under_odds,best_odds_for_bet,home_ml,away_ml,imp_over_prob,imp_under_prob,model_win_prob,kelly,m1_xgb,m4_mean,m5_context,m7_matchup,n_books
2026-05-03,Orlando Magic (+270) @ Detroit Pistons (-335),Tobias Harris,C1,1.5,0.08,-1.42,94.7,UNDER,UNDER,9,0.8,HIGH,NORMAL,,100,0.398,0.26,155,-175,-175,-335,270,0.381,0.619,1,0.5,0,0,0,0.21,6
2026-05-03,Minnesota Timberwolves (+584) @ San Antonio Spurs (-875),Stephon Castle,C1,1.5,0.1,-1.4,93.3,UNDER,UNDER,8.9,0.8,HIGH,NORMAL,,100,0.354,0.16,141,-160,-160,-875,584,0.403,0.597,1,0.5,0,0,0,0.26,6
2026-05-03,Orlando Magic (+270) @ Detroit Pistons (-335),Anthony Black,C1,1.5,0.11,-1.39,92.7,UNDER,UNDER,8.9,0.8,HIGH,NORMAL,,100,0.341,0.22,160,-180,-180,-335,270,0.374,0.626,1,0.5,0,0,0,0.27,6
2026-05-03,Los Angeles Lakers (+772) @ Oklahoma City Thunder (-1375),Cason Wallace,C1,1.5,0.11,-1.39,92.7,UNDER,UNDER,8.9,0.8,HIGH,NORMAL,,100,0.348,0.15,178,-185,-185,-1375,771.5,0.357,0.643,1,0.5,0,0,0,0.27,6
2026-05-03,Toronto Raptors (+241) @ Cleveland Cavaliers (-298),Jamal Shead,C1,1.5,0.13,-1.37,91.3,UNDER,UNDER,8.8,0.8,HIGH,NORMAL,,100,0.289,0.11,135,-144,-144,-298,241,0.419,0.581,1,0.5,0,0,0,0.32,6
2026-05-03,Los Angeles Lakers (+772) @ Oklahoma City Thunder (-1375),Luke Kennard,C1,1.5,0.13,-1.37,91.3,UNDER,UNDER,8.8,0.8,HIGH,NORMAL,,100,0.396,0.18,170,-190,-190,-1375,771.5,0.361,0.639,1,0.5,0,0,0,0.33,6
2026-05-03,Philadelphia 76ers (+236) @ New York Knicks (-292),Joel Embiid,C1,1.5,0.1,-1.4,93.3,UNDER,UNDER,8.9,0.8,HIGH,NORMAL,,90,0.377,0.38,140,-170,-170,-292.5,236,0.398,0.602,1,0.5,0,0,0,0.24,5
2026-05-03,Philadelphia 76ers (+236) @ New York Knicks (-292),VJ Edgecombe,C1,1.5,0.1,-1.4,93.3,UNDER,UNDER,8.9,0.8,HIGH,NORMAL,,90,0.092,0.35,175,128,128,-292.5,236,0.453,0.547,1,0.5,0,0,0,0.24,5
2026-05-03,Los Angeles Lakers (+772) @ Oklahoma City Thunder (-1375),Marcus Smart,C1,1.5,0.13,-1.37,91.3,UNDER,UNDER,8.8,0.8,HIGH,NORMAL,,90,0.336,0.33,210,125,125,-1375,771.5,0.421,0.579,1,0.5,0,0,0,0.33,6
2026-05-03,Philadelphia 76ers (+236) @ New York Knicks (-292),Josh Hart,C1,1.5,0.11,-1.39,92.7,UNDER,UNDER,8.9,0.8,HIGH,NORMAL,,87,0.354,0.52,134,-170,-170,-292.5,236,0.404,0.596,1,0.5,0,0,0,0.29,4
