date,game,player_name,cluster,line,prediction,edge,edge_pct,direction,pick,edge_score,ag_score,agreement,role_flag,last7_vals,confidence,model_std,blowout_risk,best_over_odds,best_under_odds,best_odds_for_bet,home_ml,away_ml,imp_over_prob,imp_under_prob,model_win_prob,kelly,m1_xgb,m4_mean,m5_context,m7_matchup,n_books
2026-08-30,Oklahoma City Thunder (+105) @ San Antonio Spurs (-125),Shai Gilgeous-Alexander,C1,5.5,7.28,1.78,32.4,OVER,OVER,10.3,0.6,LOW,NORMAL,12|9|12|7|9|4|9,43,1.369,0.47,-138,104,-138,-125,105,0.542,0.458,0.903,0.3846,7.24,7.24,7.46,3.87,1
2026-08-30,Boston Celtics (+105) @ Detroit Pistons (-125),Jayson Tatum,C1,5.5,6.07,0.57,10.4,OVER,OVER,6,0.6,LOW,NORMAL,8|7|9|7|11|4|3,34,1.197,0.23,-130,-102,-130,-125,105,0.528,0.472,0.683,0.1355,5.86,5.86,6.92,3.62,1
2026-08-30,Oklahoma City Thunder (+105) @ San Antonio Spurs (-125),Victor Wembanyama,C1,2.5,2.9,0.4,16,OVER,PASS,5,0.6,HIGH,NORMAL,2|2|2|2|6|1|2,77,0.359,0,-182,136,-182,-125,105,0.604,0.396,0.867,0.3125,2.92,2.92,2.84,1.87,1
2026-08-30,Philadelphia 76ers (+164) @ New York Knicks (-195),Jalen Brunson,C1,6.5,6.75,0.25,3.8,OVER,PASS,5.4,0.4,LOW,NORMAL,6|5|2|6|5|7|3,24,1.366,0.21,-114,-114,-114,-195,164,0.5,0.5,0.573,0.0431,6.92,6.92,6.07,2.72,1
2026-08-30,Boston Celtics (+105) @ Detroit Pistons (-125),Cade Cunningham,C1,9.5,8.84,-0.66,6.9,UNDER,PASS,8.4,0.8,LOW,NORMAL,7|10|10|6|9|8|5,18,1.673,0.53,-108,-122,-122,-125,105,0.486,0.514,0.653,0.1148,9.04,9.04,8.06,3.8,1
