date,game,player_name,cluster,line,prediction,edge,edge_pct,direction,pick,edge_score,agreement,role_flag,m8_last3,confidence,model_std,blowout_risk,best_over_odds,best_under_odds,best_odds_for_bet,imp_over_prob,imp_under_prob,model_win_prob,kelly,m1_xgb,m4_mean,m5_context,m7_matchup,n_books
2026-03-02,Los Angeles Clippers @ Golden State Warriors,Kawhi Leonard,C4,2.5,2.23,-0.27,10.8,UNDER,PASS,4.9,HIGH,NORMAL,NA,61,0.245,0.64,145,147,147,0.502,0.498,0.816,0.3454,2.06,2.06,2.11,2.48,5
2026-03-02,San Antonio Spurs @ Philadelphia 76ers,Devin Vassell,C4,2.5,2.47,-0.03,1.2,UNDER,PASS,2.6,HIGH,NORMAL,NA,58,0.281,0.16,139,-174,-174,0.397,0.603,0.54,0,2.45,2.45,2.78,2.5,2
2026-03-02,Denver Nuggets @ Utah Jazz,Christian Braun,C2,1.5,1.29,-0.21,14,UNDER,PASS,4.3,MED,NORMAL,NA,56,0.42,0.5,150,-166,-166,0.391,0.609,0.691,0.089,0.95,0.95,1.39,1.81,5
2026-03-02,Houston Rockets @ Washington Wizards,Tristan Vukcevic,C2,1.5,1.21,-0.29,19.3,UNDER,PASS,4.3,MED,NORMAL,NA,55,0.578,0.34,160,-208,-208,0.363,0.637,0.692,0.0257,1,1,1.26,1.51,2
2026-03-02,Los Angeles Clippers @ Golden State Warriors,Brandin Podziemski,C2,1.5,1.7,0.2,13.3,OVER,PASS,2,MED,NORMAL,NA,55,0.69,0.56,185,124,185,0.44,0.56,0.614,0.2027,1.48,1.48,2.48,2.02,5
2026-03-02,Boston Celtics @ Milwaukee Bucks,Sam Hauser,C2,2.5,2.23,-0.27,10.8,UNDER,PASS,4,MED,NORMAL,NA,51,0.687,0.43,155,116,116,0.459,0.541,0.653,0.1769,2.41,2.41,2.71,1.96,5
2026-03-02,Denver Nuggets @ Utah Jazz,Brice Sensabaugh,C2,2.5,2.01,-0.49,19.6,UNDER,PASS,4.8,LOW,NORMAL,NA,49,1.308,0.33,112,-135,-135,0.451,0.549,0.646,0.0841,1.81,1.81,2.99,2.31,5
2026-03-02,Los Angeles Clippers @ Golden State Warriors,Kris Dunn,C2,1,1.02,0.02,2,OVER,PASS,1.7,HIGH,NORMAL,NA,49,0.264,0.5,195,145,195,0.454,0.546,0.527,0.1422,0.81,0.81,1.06,1.33,2
2026-03-02,Houston Rockets @ Washington Wizards,Kevin Durant,C4,2.5,2.71,0.21,8.4,OVER,PASS,2.2,MED,NORMAL,NA,48,0.529,0.46,105,-130,105,0.463,0.537,0.654,0.1622,2.4,2.4,3.21,3.16,5
2026-03-02,Houston Rockets @ Washington Wizards,Dorian Finney-Smith,C2,1.5,1.8,0.3,20,OVER,PASS,5,MED,NORMAL,NA,43,0.686,0.64,120,-160,120,0.425,0.575,0.669,0.1966,1.85,1.85,2.07,1.72,1
2026-03-02,New York Knicks @ Toronto Raptors,Jalen Brunson,C4,2.5,2.48,-0.02,0.8,UNDER,PASS,1.4,MED,NORMAL,NA,37,0.428,0.11,-122,-106,-106,0.516,0.484,0.519,0.0046,2.55,2.55,2.4,2.38,2
2026-03-02,San Antonio Spurs @ Philadelphia 76ers,Tyrese Maxey,C4,3,2.7,-0.3,10,UNDER,PASS,2.5,LOW,NORMAL,NA,36,1.028,0.23,127,140,140,0.514,0.486,0.615,0.17,3.07,3.07,2.22,2.13,2
