date,game,player_name,cluster,line,prediction,edge,edge_pct,direction,pick,edge_score,ag_score,agreement,role_flag,last7_vals,confidence,model_std,blowout_risk,best_over_odds,best_under_odds,best_odds_for_bet,home_ml,away_ml,imp_over_prob,imp_under_prob,model_win_prob,kelly,m1_xgb,m4_mean,m5_context,m7_matchup,n_books
2026-03-10,Minnesota Timberwolves (-135) @ Los Angeles Lakers (+112),Austin Reaves,C1,3.5,4.45,0.95,27.1,OVER,OVER,7,0.6,HIGH,NORMAL,3|1|0|8|5|2|4,100,0.57,0.12,140,122,140,112,-135,0.481,0.519,0.952,0.4589,4.56,4.56,3.82,2.82,5
2026-03-10,Washington Wizards (+647) @ Miami Heat (-1000),Myron Gardner,C1,5,3.34,-1.66,33.2,UNDER,STRONG UNDER,10.2,0.8,HIGH,NORMAL,10|2|3|1|0|5|6,97,0.412,0.1,200,122,122,-1000,647,0.425,0.575,1,0.5,3.4,3.4,3.01,2.71,4
2026-03-10,Boston Celtics (+126) @ San Antonio Spurs (-150),Dylan Harper,C1,2.5,3.25,0.75,30,OVER,OVER,6,0.6,HIGH,NORMAL,5|3|3|2|2|2|2,97,0.46,0.14,200,-106,200,-150,126,0.393,0.607,0.948,0.461,3.32,3.32,2.87,2.37,4
2026-03-10,Indiana Pacers (+134) @ Sacramento Kings (-160),Jay Huff,C1,5.5,4.02,-1.48,26.9,UNDER,UNDER,9.6,0.8,HIGH,NORMAL,1|4|4|4|5|6|6,97,0.718,0.19,175,-132,-132,-160,134,0.39,0.61,0.98,0.4768,4,4,4.1,3.33,4
2026-03-10,Indiana Pacers (+134) @ Sacramento Kings (-160),Aaron Nesmith,C1,3.5,4.43,0.93,26.6,OVER,OVER,6.9,0.6,HIGH,NORMAL,1|1|8|2|3|3|1,97,0.798,0.03,215,-136,215,-160,134,0.355,0.645,0.878,0.4106,4.56,4.56,3.68,2.9,4
2026-03-10,Charlotte Hornets (-150) @ Portland Trail Blazers (+130),Grant Williams,C1,3.5,4.3,0.8,22.9,OVER,OVER,6.2,0.6,HIGH,NORMAL,4|4|4|3|4|6|1,96,0.449,0.04,170,-108,170,130,-150,0.416,0.584,0.963,0.4706,4.29,4.29,4.38,3.16,4
2026-03-10,Memphis Grizzlies (+130) @ Philadelphia 76ers (-155),Ty Jerome,C1,3.5,2.7,-0.8,22.9,UNDER,UNDER,6.7,0.8,HIGH,NORMAL,1|3|1|6|3|4|2,93,0.16,0.25,123,-159,-159,-155,130,0.422,0.578,0.996,0.4948,2.67,2.67,2.9,2.85,3
2026-03-10,Indiana Pacers (+134) @ Sacramento Kings (-160),Russell Westbrook,C1,4.5,3.56,-0.94,20.9,UNDER,UNDER,7.8,0.8,HIGH,NORMAL,3|2|5|4|2|2|7,93,0.575,0.07,130,111,111,-160,134,0.478,0.522,0.949,0.4515,3.64,3.64,3.13,2.78,4
2026-03-10,Detroit Pistons (-1100) @ Brooklyn Nets (+675),Drake Powell,C1,2.5,1.72,-0.78,31.2,UNDER,UNDER,6.4,0.8,HIGH,NORMAL,1|2|2|1|2|1|3,91,0.197,0.16,139,-175,-175,675,-1100,0.397,0.603,0.995,0.4931,1.72,1.72,1.75,2.29,2
2026-03-10,Chicago Bulls (+197) @ Golden State Warriors (-238),Al Horford,C1,6.5,5.26,-1.24,19.1,UNDER,UNDER,9.5,0.8,HIGH,NORMAL,8|1|7|5|6|6|5,91,0.597,0.23,190,118,118,-238,197,0.429,0.571,0.981,0.4824,5.28,5.28,5.13,3.67,4
2026-03-10,Indiana Pacers (+134) @ Sacramento Kings (-160),Nique Clifford,C1,5.5,4.49,-1.01,18.4,UNDER,UNDER,7.9,0.8,HIGH,NORMAL,6|2|8|7|8|5|3,90,0.643,0.18,175,-112,-112,-160,134,0.408,0.592,0.942,0.4385,4.36,4.36,5.24,3.85,4
2026-03-10,Minnesota Timberwolves (-135) @ Los Angeles Lakers (+112),Donte DiVincenzo,C1,3.5,4.3,0.8,22.9,OVER,OVER,6.6,0.6,HIGH,NORMAL,6|1|3|3|4|5|2,89,0.583,0.36,175,-110,175,112,-135,0.41,0.59,0.915,0.4332,4.4,4.4,3.72,2.62,5
2026-03-10,Phoenix Suns (-115) @ Milwaukee Bucks (-105),Khaman Maluach,C1,4.5,2.08,-2.42,53.8,UNDER,STRONG UNDER,12,0.8,HIGH,NORMAL,6|6|7|2|4|4|3,88,0.772,0.02,-146,110,110,-105,-115,0.555,0.445,0.999,0.499,1.88,1.88,3.19,3.38,1
2026-03-10,Minnesota Timberwolves (-135) @ Los Angeles Lakers (+112),Anthony Edwards,C1,4.5,5.18,0.68,15.1,OVER,OVER,6.5,0.6,HIGH,NORMAL,9|4|3|3|6|4|3,88,0.752,0.1,160,-102,160,112,-135,0.432,0.568,0.817,0.3513,5.28,5.28,4.62,2.9,5
2026-03-10,Phoenix Suns (-115) @ Milwaukee Bucks (-105),Grayson Allen,C1,2.5,3.15,0.65,26,OVER,OVER,6.2,0.8,HIGH,NORMAL,5|7|3|1|3|2|2,87,0.288,0.3,155,108,155,-105,-115,0.449,0.551,0.985,0.4877,3.16,3.16,3.08,2.88,4
2026-03-10,Boston Celtics (+126) @ San Antonio Spurs (-150),Sam Hauser,C1,3.5,4.38,0.88,25.1,OVER,OVER,6.5,0.6,HIGH,NORMAL,4|3|4|4|7|5|4,87,0.56,0.33,124,-154,124,-150,126,0.424,0.576,0.942,0.4476,4.4,4.4,4.25,3.25,4
2026-03-10,Phoenix Suns (-115) @ Milwaukee Bucks (-105),Oso Ighodaro,C1,6.5,5.47,-1.03,15.8,UNDER,UNDER,8.6,0.8,HIGH,NORMAL,2|3|4|14|9|6|2,86,0.785,0.12,165,-125,-125,-105,-115,0.404,0.596,0.905,0.3931,5.32,5.32,6.31,4.3,4
2026-03-10,Memphis Grizzlies (+130) @ Philadelphia 76ers (-155),Olivier-Maxence Prosper,C1,4.5,3.7,-0.8,17.8,UNDER,UNDER,7.2,0.8,HIGH,NORMAL,2|10|2|2|9|2|4,83,0.601,0.14,-123,116,116,-155,130,0.544,0.456,0.908,0.4143,3.6,3.6,4.25,3.41,2
2026-03-10,Boston Celtics (+126) @ San Antonio Spurs (-150),Baylor Scheierman,C1,3.5,4.95,1.45,41.4,OVER,OVER,8.7,0.6,MED,NORMAL,4|3|4|6|4|2|10,80,0.877,0.16,130,128,130,-150,126,0.498,0.502,0.951,0.4567,5.04,5.04,4.42,2.96,5
2026-03-10,Boston Celtics (+126) @ San Antonio Spurs (-150),Derrick White,C1,3.5,4.41,0.91,26,OVER,OVER,6.9,0.6,HIGH,NORMAL,6|3|6|1|2|4|7,80,0.582,0.74,150,103,150,-150,126,0.448,0.552,0.941,0.4508,4.52,4.52,3.8,2.75,5
2026-03-10,Washington Wizards (+647) @ Miami Heat (-1000),Bilal Coulibaly,C1,4.5,4,-0.5,11.1,UNDER,UNDER,6.1,0.8,HIGH,NORMAL,6|5|5|1|6|3|4,79,0.392,0.26,134,-150,-150,-1000,647,0.416,0.584,0.899,0.3737,4.04,4.04,3.77,3.13,4
2026-03-10,Minnesota Timberwolves (-135) @ Los Angeles Lakers (+112),Ayo Dosunmu,C1,1.5,2.8,1.3,86.7,OVER,OVER,8.7,0.8,HIGH,NORMAL,5|1|2|2|3|1|2,78,0.417,0.33,-169,130,-169,112,-135,0.591,0.409,0.999,0.4987,2.92,2.92,2.15,2.13,1
2026-03-10,Indiana Pacers (+134) @ Sacramento Kings (-160),Malik Monk,C1,3.5,1.78,-1.72,49.1,UNDER,UNDER,9.8,0.8,HIGH,NORMAL,0|5|0|1|3|1|2,78,0.264,0.36,118,-154,-154,-160,134,0.431,0.569,1,0.5,1.8,1.8,1.65,2.42,1
2026-03-10,Chicago Bulls (+197) @ Golden State Warriors (-238),Matas Buzelis,C1,6.5,5.79,-0.71,10.9,UNDER,UNDER,7.6,0.8,HIGH,NORMAL,6|4|7|7|7|5|6,78,0.709,0.05,180,-135,-135,-238,197,0.383,0.617,0.842,0.3143,5.76,5.76,5.96,3.93,4
2026-03-10,Phoenix Suns (-115) @ Milwaukee Bucks (-105),Collin Gillespie,C1,4.5,4.03,-0.47,10.4,UNDER,UNDER,6.1,0.8,HIGH,NORMAL,3|3|3|5|2|6|0,78,0.515,0.18,122,-159,-159,-105,-115,0.423,0.577,0.819,0.2656,4.04,4.04,3.96,3.09,4
2026-03-10,Chicago Bulls (+197) @ Golden State Warriors (-238),Jalen Smith,C1,5.5,7.85,2.35,42.7,OVER,OVER,12.1,0.6,MED,NORMAL,5|5|9|10|7|5|2,77,1.384,0.02,190,-135,190,-238,197,0.375,0.625,0.955,0.4657,7.92,7.92,7.43,4.36,4
2026-03-10,Dallas Mavericks (+300) @ Atlanta Hawks (-385),Jock Landale,C1,4.5,6.2,1.7,37.8,OVER,OVER,10.1,0.6,MED,NORMAL,6|6|3|3|5|1|1,77,1.47,0.14,165,-108,165,-385,300,0.421,0.579,0.876,0.4004,6.48,6.48,4.64,3.24,4
2026-03-10,Indiana Pacers (+134) @ Sacramento Kings (-160),Maxime Raynaud,C1,11.5,7.99,-3.51,30.5,UNDER,UNDER,14.4,0.8,MED,NORMAL,13|8|6|13|10|5|9,77,1.466,0.1,165,-139,-139,-160,134,0.394,0.606,0.992,0.4904,7.84,7.84,8.81,4.71,4
2026-03-10,Memphis Grizzlies (+130) @ Philadelphia 76ers (-155),Quentin Grimes,C1,4.5,3.19,-1.31,29.1,UNDER,UNDER,8.6,0.8,HIGH,NORMAL,2|4|1|2|5|6|5,77,0.745,0.61,200,-134,-134,-155,130,0.368,0.632,0.961,0.4544,3.2,3.2,3.11,3.14,4
2026-03-10,Memphis Grizzlies (+130) @ Philadelphia 76ers (-155),Adem Bona,C1,6.5,4.7,-1.8,27.7,UNDER,UNDER,10.7,0.8,MED,NORMAL,5|3|4|6|5|7|7,77,0.807,0.19,145,-111,-111,-155,130,0.437,0.563,0.987,0.4863,4.64,4.64,5.04,3.66,4
2026-03-10,Charlotte Hornets (-150) @ Portland Trail Blazers (+130),Brandon Miller,C1,4.5,5.73,1.23,27.3,OVER,OVER,7.5,0.6,MED,NORMAL,5|7|8|5|5|13|3,77,1.109,0.01,125,115,125,130,-150,0.489,0.511,0.866,0.3794,5.6,5.6,6.46,4.36,4
2026-03-10,Indiana Pacers (+134) @ Sacramento Kings (-160),Precious Achiuwa,C1,9.5,7.34,-2.16,22.7,UNDER,UNDER,11.4,0.8,MED,NORMAL,12|10|12|9|9|12|6,76,1.295,0.09,145,-118,-118,-160,134,0.43,0.57,0.952,0.4477,7.12,7.12,8.61,5.43,4
2026-03-10,Minnesota Timberwolves (-135) @ Los Angeles Lakers (+112),Deandre Ayton,C1,6.5,7.79,1.29,19.8,OVER,OVER,9.4,0.6,MED,NORMAL,13|4|10|4|8|2|8,75,1.355,0.14,150,-108,150,112,-135,0.435,0.565,0.829,0.3575,7.96,7.96,6.81,3.65,5
2026-03-10,Minnesota Timberwolves (-135) @ Los Angeles Lakers (+112),Naz Reid,C1,5.5,6.47,0.97,17.6,OVER,OVER,7.8,0.6,MED,NORMAL,7|3|7|6|6|6|8,71,1.053,0.13,145,-110,145,112,-135,0.438,0.562,0.822,0.3496,6.56,6.56,5.99,3.46,5
2026-03-10,Memphis Grizzlies (+130) @ Philadelphia 76ers (-155),Dominick Barlow,C1,4.5,3.97,-0.53,11.8,UNDER,UNDER,6.3,0.8,HIGH,NORMAL,3|2|8|0|4|1|1,70,0.675,0.3,165,-115,-115,-155,130,0.414,0.586,0.784,0.2678,4.08,4.08,3.38,2.92,4
2026-03-10,Charlotte Hornets (-150) @ Portland Trail Blazers (+130),Vit Krejci,C1,1.5,2.3,0.8,53.3,OVER,OVER,7.2,0.8,MED,NORMAL,3|3|1|4|6|6|2,68,0.907,0.2,-169,130,-169,130,-150,0.591,0.409,0.811,0.2458,2.16,2.16,3.1,3.03,1
2026-03-10,Chicago Bulls (+197) @ Golden State Warriors (-238),Brandin Podziemski,C1,7,5.8,-1.2,17.1,UNDER,UNDER,8.8,0.6,MED,NORMAL,15|8|7|7|9|6|8,68,1.36,0.25,185,102,102,-238,197,0.415,0.585,0.811,0.3129,4.66,6.2,7.15,4.56,4
2026-03-10,Phoenix Suns (-115) @ Milwaukee Bucks (-105),Myles Turner,C1,3.5,5.42,1.92,54.9,OVER,OVER,10.3,0.6,MED,NORMAL,3|4|7|4|3|3|0,67,1.263,0.56,140,114,140,-105,-115,0.471,0.529,0.936,0.4451,5.56,5.56,4.6,3.08,4
2026-03-10,Washington Wizards (+647) @ Miami Heat (-1000),Alex Sarr,C1,5.5,7.45,1.95,35.5,OVER,OVER,10.1,0.6,MED,NORMAL,12|17|6|9|6|12|4,67,1.199,0.45,190,-130,190,-1000,647,0.379,0.621,0.948,0.4603,7.28,7.28,8.38,5.2,4
2026-03-10,Chicago Bulls (+197) @ Golden State Warriors (-238),Gui Santos,C1,7.5,4.95,-2.55,34,UNDER,UNDER,12.3,0.8,MED,NORMAL,12|3|4|10|6|11|8,67,1.407,0.32,175,-103,-103,-238,197,0.417,0.583,0.965,0.4645,4.58,4.88,6.07,4.34,4
2026-03-10,Dallas Mavericks (+300) @ Atlanta Hawks (-385),Jonathan Kuminga,C3,4.5,5.67,1.17,26,OVER,OVER,8.8,0.8,MED,NORMAL,7|4|5|1|7|9|7,67,0.991,0.55,125,122,125,-385,300,0.497,0.503,0.881,0.3929,5.77,5.77,5.12,6.18,4
