date,game,player_name,cluster,line,prediction,edge,edge_pct,direction,pick,edge_score,ag_score,agreement,role_flag,last7_vals,confidence,model_std,blowout_risk,best_over_odds,best_under_odds,best_odds_for_bet,home_ml,away_ml,imp_over_prob,imp_under_prob,model_win_prob,kelly,m1_xgb,m4_mean,m5_context,m7_matchup,n_books
2026-04-06,Philadelphia 76ers (+295) @ San Antonio Spurs (-370),Dylan Harper,C1,3.5,4.42,0.92,26.3,OVER,OVER,7.1,0.6,MED,NORMAL,6|6|2|3|5|5|3,80,0.74,0.14,155,104,155,-370,295,0.444,0.556,0.893,0.412,4.44,4.44,4.33,2.36,6
2026-04-06,Detroit Pistons (-165) @ Orlando Magic (+140),Franz Wagner,C1,2.5,3.44,0.94,37.6,OVER,OVER,7,0.6,MED,NORMAL,2|3|5|3|2|1|2,70,0.761,0.31,140,-162,140,140,-165,0.403,0.597,0.892,0.4074,3.56,3.56,2.98,1.82,5
2026-04-06,New York Knicks (+100) @ Atlanta Hawks (-120),Nickeil Alexander-Walker,C1,3.5,4.28,0.78,22.3,OVER,OVER,6.6,0.6,MED,NORMAL,6|3|5|8|6|1|3,68,0.688,0.58,205,100,205,-120,100,0.396,0.604,0.872,0.4048,4.32,4.32,4.14,2.34,6
2026-04-06,Portland Trail Blazers (+274) @ Denver Nuggets (-340),Deni Avdija,C1,7.5,5.71,-1.79,23.9,UNDER,UNDER,10.7,0.8,LOW,NORMAL,14|2|7|6|5|8|7,65,1.258,0.29,165,115,115,-340,274,0.448,0.552,0.923,0.428,5.68,5.68,5.82,2.94,6
2026-04-06,Detroit Pistons (-165) @ Orlando Magic (+140),Paolo Banchero,C1,4.5,5.39,0.89,19.8,OVER,OVER,7.3,0.6,MED,NORMAL,5|7|3|8|3|5|6,65,0.944,0.47,130,112,130,140,-165,0.48,0.52,0.827,0.347,5.44,5.44,5.18,2.68,6
2026-04-06,Detroit Pistons (-165) @ Orlando Magic (+140),Desmond Bane,C1,3.5,4.16,0.66,18.9,OVER,OVER,6.3,0.6,MED,NORMAL,3|6|2|5|2|5|4,63,0.674,0.55,165,104,165,140,-165,0.435,0.565,0.836,0.3683,4.24,4.24,3.84,2.25,6
2026-04-06,Cleveland Cavaliers (-1200) @ Memphis Grizzlies (+750),Evan Mobley,C1,3.5,2.97,-0.53,15.1,UNDER,UNDER,6.2,0.8,MED,NORMAL,3|6|4|3|3|4|5,58,0.535,0.37,110,-118,-118,750,-1200,0.468,0.532,0.839,0.3245,2.88,2.88,3.33,2.4,6
2026-04-06,Houston Rockets (-126) @ Phoenix Suns (+108),Devin Booker,C1,6.5,5.03,-1.47,22.6,UNDER,UNDER,9.9,0.8,MED,NORMAL,6|8|8|5|7|6|4,57,0.956,0.31,106,-140,-140,108,-126,0.454,0.546,0.938,0.4256,4.84,4.84,5.77,3.24,1
2026-04-06,Portland Trail Blazers (+274) @ Denver Nuggets (-340),Scoot Henderson,C1,4.5,3.83,-0.67,14.9,UNDER,UNDER,7.1,0.8,MED,NORMAL,2|4|4|3|7|2|3,57,0.536,0.48,140,-150,-150,-340,274,0.41,0.59,0.894,0.3675,3.88,3.88,3.65,2.37,6
2026-04-06,Philadelphia 76ers (+295) @ San Antonio Spurs (-370),Paul George,C1,4.5,3.91,-0.59,13.1,UNDER,UNDER,6.9,0.8,MED,NORMAL,5|4|2|2|6|6|4,55,0.83,0.37,126,114,114,-370,295,0.486,0.514,0.761,0.2757,3.92,3.92,3.89,2.28,6
2026-04-06,Detroit Pistons (-165) @ Orlando Magic (+140),Daniss Jenkins,C1,6.5,4.54,-1.96,30.2,UNDER,UNDER,11,0.8,LOW,NORMAL,10|9|4|6|5|8|14,52,2.462,0.33,106,116,116,140,-165,0.512,0.488,0.787,0.3017,4.24,4.24,5.72,2.96,4
