date,game,player_name,cluster,line,prediction,edge,edge_pct,direction,pick,edge_score,ag_score,agreement,role_flag,last7_vals,confidence,model_std,blowout_risk,best_over_odds,best_under_odds,best_odds_for_bet,home_ml,away_ml,imp_over_prob,imp_under_prob,model_win_prob,kelly,m1_xgb,m4_mean,m5_context,m7_matchup,n_books
2026-04-13,Portland Trail Blazers (+147) @ Phoenix Suns (-177),Donovan Clingan,C1,1.5,2.31,0.81,54,OVER,OVER,6.7,0.8,HIGH,NORMAL,1|1|2|0|5|2|1,100,0.388,0.03,170,131,170,-177,147,0.461,0.539,0.982,0.4857,2.4,2.4,1.96,1.55,5
2026-04-13,Golden State Warriors (+160) @ Los Angeles Clippers (-194),Kristaps Porzingis,C1,1.5,2.37,0.87,58,OVER,OVER,6.9,0.8,HIGH,NORMAL,2|3|2|1|3|2|1,84,0.258,0.32,150,145,150,-193.5,159.5,0.495,0.505,0.998,0.4983,2.4,2.4,2.27,1.67,3
2026-04-13,Miami Heat (+180) @ Charlotte Hornets (-220),Kon Knueppel,C1,3.5,2.84,-0.66,18.9,UNDER,UNDER,6.8,0.8,HIGH,NORMAL,0|2|4|3|5|1|5,83,0.48,0.35,145,130,130,-220,180,0.484,0.516,0.915,0.4248,2.84,2.84,2.86,1.97,5
2026-04-13,Portland Trail Blazers (+147) @ Phoenix Suns (-177),Toumani Camara,C1,1.5,2.17,0.67,44.7,OVER,OVER,6.2,0.8,MED,NORMAL,1|0|1|0|6|3|2,80,0.612,0.09,145,147,145,-177,147,0.502,0.498,0.863,0.3843,2.2,2.2,2.05,1.55,5
2026-04-13,Atlanta Hawks (+175) @ New York Knicks (-210),Mikal Bridges,C1,3.5,3.04,-0.46,13.1,UNDER,UNDER,6.1,0.8,HIGH,NORMAL,1|4|1|0|2|6|3,79,0.481,0.27,132,-168,-168,-210,175,0.407,0.593,0.831,0.2735,3.08,3.08,2.86,1.92,3
2026-04-13,Golden State Warriors (+160) @ Los Angeles Clippers (-194),Gui Santos,C1,2.5,3.94,1.44,57.6,OVER,OVER,8.5,0.6,MED,NORMAL,1|4|3|4|1|6|2,77,0.636,0.04,205,-109,205,-193.5,159.5,0.386,0.614,0.988,0.4911,4,4,3.69,2.16,4
2026-04-13,Minnesota Timberwolves (+190) @ Denver Nuggets (-230),Anthony Edwards,C1,4.5,3.65,-0.85,18.9,UNDER,UNDER,7.8,0.8,HIGH,NORMAL,4|5|5|5|4|3|3,77,0.487,0.41,135,118,118,-230,190,0.481,0.519,0.96,0.4631,3.6,3.6,3.84,2.54,3
2026-04-13,Houston Rockets (-210) @ Los Angeles Lakers (+175),Reed Sheppard,C1,2.5,4.03,1.53,61.2,OVER,OVER,9.1,0.6,MED,NORMAL,6|7|2|1|1|3|3,74,0.883,0.21,145,134,145,175,-210,0.489,0.511,0.958,0.4645,4.2,4.2,3.34,1.88,3
2026-04-13,Orlando Magic (0) @ Philadelphia 76ers (-118),Desmond Bane,C1,3.5,4.31,0.81,23.1,OVER,OVER,6.8,0.6,MED,NORMAL,2|5|4|1|6|4|1,70,0.667,0.32,165,115,165,-118,-0.5,0.448,0.552,0.888,0.4101,4.4,4.4,3.96,2.31,5
2026-04-13,Minnesota Timberwolves (+190) @ Denver Nuggets (-230),Jaden McDaniels,C1,3,2.43,-0.57,19,UNDER,UNDER,6.3,0.8,MED,NORMAL,4|3|3|3|0|2|2,64,0.504,0.09,190,-106,-106,-230,190,0.401,0.599,0.871,0.3671,2.48,2.48,2.24,1.76,2
