date,game,player_name,cluster,line,prediction,edge,edge_pct,direction,pick,edge_score,ag_score,agreement,role_flag,last7_vals,confidence,model_std,blowout_risk,best_over_odds,best_under_odds,best_odds_for_bet,home_ml,away_ml,imp_over_prob,imp_under_prob,model_win_prob,kelly,m1_xgb,m4_mean,m5_context,m7_matchup,n_books
2026-03-19,Philadelphia 76ers (-143) @ Sacramento Kings (+122),Justin Edwards,C1,3.5,1.67,-1.83,52.3,UNDER,STRONG UNDER,10,0.8,HIGH,NORMAL,2|2|0|9|4|2|5,100,0.737,0.12,115,-120,-120,122,-143,0.46,0.54,0.993,0.4923,1.56,1.56,2.3,2.96,6
2026-03-19,Orlando Magic (+180) @ Charlotte Hornets (-210),Ryan Kalkbrenner,C1,3.5,4.94,1.44,41.1,OVER,OVER,8.8,0.6,HIGH,NORMAL,5|2|3|2|6|3|3,100,0.771,0,130,128,130,-210,180,0.498,0.502,0.969,0.4726,5.08,5.08,4.16,2.73,5
2026-03-19,Phoenix Suns (+350) @ San Antonio Spurs (-455),Jalen Green,C1,4.5,3.4,-1.1,24.4,UNDER,UNDER,8,0.8,HIGH,NORMAL,5|1|4|3|5|7|1,100,0.391,0.16,116,-130,-130,-455,350,0.45,0.55,0.998,0.4977,3.35,3.35,3.7,3.08,6
2026-03-19,Phoenix Suns (+350) @ San Antonio Spurs (-455),Devin Booker,C1,4.5,3.48,-1.02,22.7,UNDER,UNDER,7.8,0.8,HIGH,NORMAL,4|0|5|7|3|3|6,99,0.392,0,122,-143,-143,-455,350,0.434,0.566,0.995,0.4939,3.48,3.48,3.49,2.94,6
2026-03-19,Detroit Pistons (-1200) @ Washington Wizards (+750),Will Riley,C1,4.5,3.5,-1,22.2,UNDER,UNDER,7.6,0.8,HIGH,NORMAL,2|3|4|5|5|4|3,98,0.315,0.17,118,-118,-118,750,-1200,0.459,0.541,0.999,0.4989,3.44,3.44,3.86,3.25,6
2026-03-19,Orlando Magic (+180) @ Charlotte Hornets (-210),Coby White,C1,2.5,3.34,0.84,33.6,OVER,OVER,6.3,0.6,HIGH,NORMAL,3|1|5|0|2|4|3,97,0.352,0,-103,-125,-103,-210,180,0.477,0.523,0.991,0.4909,3.4,3.4,3.03,2.46,4
2026-03-19,Philadelphia 76ers (-143) @ Sacramento Kings (+122),Quentin Grimes,C1,4.5,3.42,-1.08,24,UNDER,UNDER,7.8,0.8,HIGH,NORMAL,6|5|3|3|8|3|2,90,0.403,0.55,210,-120,-120,122,-143,0.372,0.628,0.996,0.4956,3.36,3.36,3.75,3.31,6
2026-03-19,Phoenix Suns (+350) @ San Antonio Spurs (-455),Julian Champagnie,C1,4.5,5.26,0.76,16.9,OVER,OVER,6.2,0.6,HIGH,NORMAL,9|5|5|7|4|8|1,90,0.777,0.01,140,120,140,-455,350,0.478,0.522,0.836,0.3594,5.2,5.2,5.6,3.7,6
2026-03-19,Philadelphia 76ers (-143) @ Sacramento Kings (+122),Adem Bona,C1,6,4.99,-1.01,16.8,UNDER,UNDER,8.4,0.8,HIGH,NORMAL,5|7|7|3|10|6|3,90,0.726,0.24,130,110,110,122,-143,0.477,0.523,0.918,0.4217,4.88,4.88,5.58,4.08,6
2026-03-19,Cleveland Cavaliers (-800) @ Chicago Bulls (+550),Donovan Mitchell,C1,4.5,3.78,-0.72,16,UNDER,UNDER,6.9,0.8,HIGH,NORMAL,5|7|3|5|2|1|8,89,0.335,0.1,175,-109,-109,550,-800,0.411,0.589,0.984,0.4833,3.8,3.8,3.64,3.22,6
2026-03-19,Cleveland Cavaliers (-800) @ Chicago Bulls (+550),Dennis Schroder,C1,1.5,2.21,0.71,47.3,OVER,OVER,6.8,0.8,HIGH,NORMAL,5|3|1|0|5|1|1,88,0.219,0.22,-156,121,-156,550,-800,0.574,0.426,0.991,0.4885,2.24,2.24,2.04,2.63,1
2026-03-19,Los Angeles Lakers (+125) @ Miami Heat (-145),Pelle Larsson,C1,3.5,4.26,0.76,21.7,OVER,OVER,6.2,0.6,HIGH,NORMAL,1|4|5|2|6|3|2,88,0.529,0.36,135,114,135,-145,125,0.477,0.523,0.925,0.4347,4.32,4.32,3.89,2.96,6
2026-03-19,Milwaukee Bucks (-230) @ Utah Jazz (+190),Taurean Prince,C1,2.5,1.68,-0.82,32.8,UNDER,UNDER,6.5,0.8,HIGH,NORMAL,3|0|3|1|2|2|2,87,0.298,0.33,200,-110,-110,190,-230,0.389,0.611,0.997,0.4968,1.69,1.69,1.62,2.21,4
2026-03-19,Cleveland Cavaliers (-800) @ Chicago Bulls (+550),Collin Sexton,C1,2.5,1.81,-0.69,27.6,UNDER,UNDER,6,0.8,HIGH,NORMAL,2|0|3|1|3|1|2,87,0.216,0.34,135,-160,-160,550,-800,0.409,0.591,0.989,0.4857,1.84,1.84,1.67,2.33,4
2026-03-19,Los Angeles Clippers (+105) @ New Orleans Pelicans (-125),Brook Lopez,C1,4.5,3.66,-0.84,18.7,UNDER,UNDER,7.4,0.8,HIGH,NORMAL,1|4|3|7|0|1|5,83,0.607,0.38,210,-135,-135,-125,105,0.36,0.64,0.917,0.4025,3.72,3.72,3.34,2.93,6
2026-03-19,Milwaukee Bucks (-230) @ Utah Jazz (+190),Kevin Porter Jr.,C1,4.5,5.32,0.82,18.2,OVER,OVER,6.5,0.6,HIGH,NORMAL,8|6|6|4|7|7|3,82,0.593,0.46,125,122,125,190,-230,0.497,0.503,0.917,0.4253,5.32,5.32,5.3,3.79,6
2026-03-19,Phoenix Suns (+350) @ San Antonio Spurs (-455),Stephon Castle,C1,4.5,5.3,0.8,17.8,OVER,OVER,6.1,0.6,HIGH,NORMAL,8|3|9|11|7|7|1,82,0.658,0.36,150,105,150,-455,350,0.451,0.549,0.888,0.4067,5.2,5.2,5.89,4.26,6
2026-03-19,Milwaukee Bucks (-230) @ Utah Jazz (+190),Ryan Rollins,C1,3.5,4.68,1.18,33.7,OVER,OVER,7.9,0.6,MED,NORMAL,11|1|3|5|3|2|3,80,0.821,0.22,130,128,130,190,-230,0.498,0.502,0.925,0.4337,4.8,4.8,4.03,2.64,6
2026-03-19,Philadelphia 76ers (-143) @ Sacramento Kings (+122),Jabari Walker,C1,4.5,3,-1.5,33.3,UNDER,UNDER,9.1,0.8,MED,NORMAL,0|7|10|5|2|2|1,80,0.848,0,140,118,118,122,-143,0.476,0.524,0.962,0.4649,2.84,2.84,3.91,3.59,5
2026-03-19,Los Angeles Lakers (+125) @ Miami Heat (-145),Norman Powell,C1,3.5,2.92,-0.58,16.6,UNDER,UNDER,6.2,0.8,HIGH,NORMAL,0|3|2|6|3|1|6,80,0.302,0.35,205,-110,-110,-145,125,0.385,0.615,0.973,0.4716,2.96,2.96,2.71,2.61,6
2026-03-19,Cleveland Cavaliers (-800) @ Chicago Bulls (+550),Guerschon Yabusele,C1,3.5,4.32,0.82,23.4,OVER,OVER,6.3,0.6,MED,NORMAL,12|6|5|5|2|0|3,77,1.042,0.18,135,116,135,550,-800,0.479,0.521,0.784,0.312,4.28,4.28,4.53,3.04,4
2026-03-19,Orlando Magic (+180) @ Charlotte Hornets (-210),Miles Bridges,C1,5.5,4.7,-0.8,14.5,UNDER,UNDER,7.7,0.8,HIGH,NORMAL,3|2|4|7|2|4|10,77,0.763,0.45,135,100,100,-210,180,0.46,0.54,0.853,0.353,4.8,4.8,4.15,2.94,6
2026-03-19,Detroit Pistons (-1200) @ Washington Wizards (+750),Bilal Coulibaly,C1,4.5,3.85,-0.65,14.4,UNDER,UNDER,6.7,0.8,HIGH,NORMAL,6|3|4|6|5|4|8,77,0.762,0.39,123,-140,-140,750,-1200,0.435,0.565,0.803,0.2636,3.8,3.8,4.1,3.32,6
2026-03-19,Los Angeles Clippers (+105) @ New Orleans Pelicans (-125),John Collins,C1,6.5,5.84,-0.66,10.2,UNDER,UNDER,7.3,0.8,HIGH,NORMAL,6|12|1|7|3|9|7,77,0.753,0.21,155,-118,-118,-125,105,0.42,0.58,0.81,0.2929,5.8,5.8,6.1,4.13,4
2026-03-19,Philadelphia 76ers (-143) @ Sacramento Kings (+122),Russell Westbrook,C1,5.5,3.96,-1.54,28,UNDER,UNDER,9.6,0.8,MED,NORMAL,4|2|2|7|7|12|1,70,0.961,0.32,200,116,116,122,-143,0.419,0.581,0.945,0.4488,3.84,3.84,4.63,3.81,6
2026-03-19,Detroit Pistons (-1200) @ Washington Wizards (+750),Alex Sarr,C1,5.5,6.81,1.31,23.8,OVER,OVER,8.6,0.6,MED,NORMAL,9|6|12|4|6|4|5,70,1.127,0.3,170,-125,170,750,-1200,0.4,0.6,0.877,0.4023,6.8,6.8,6.9,4.03,6
2026-03-19,Phoenix Suns (+350) @ San Antonio Spurs (-455),Oso Ighodaro,C1,6.5,5.46,-1.04,16,UNDER,UNDER,9,0.8,MED,NORMAL,6|2|4|5|6|4|10,69,1.025,0.09,190,115,115,-455,350,0.426,0.574,0.845,0.3551,5.52,5.52,5.1,3.15,6
2026-03-19,Milwaukee Bucks (-230) @ Utah Jazz (+190),Ousmane Dieng,C1,4.5,2.97,-1.53,34,UNDER,UNDER,9.2,0.8,MED,NORMAL,1|4|8|4|10|0|5,67,0.81,0.56,200,-137,-137,190,-230,0.366,0.634,0.971,0.4656,2.84,2.84,3.74,3.5,4
2026-03-19,Detroit Pistons (-1200) @ Washington Wizards (+750),Ausar Thompson,C1,6.5,5.56,-0.94,14.5,UNDER,UNDER,8.3,0.8,MED,NORMAL,4|8|11|6|0|1|7,67,1.124,0.11,170,-130,-130,750,-1200,0.396,0.604,0.799,0.2689,5.64,5.64,5.1,3.85,6
2026-03-19,Philadelphia 76ers (-143) @ Sacramento Kings (+122),Maxime Raynaud,C1,9.5,8.24,-1.26,13.3,UNDER,UNDER,9.9,0.8,MED,NORMAL,5|9|11|6|5|12|9,65,1.35,0.27,205,100,100,122,-143,0.396,0.604,0.825,0.325,8.24,8.24,8.26,4.72,6
2026-03-19,Orlando Magic (+180) @ Charlotte Hornets (-210),Kon Knueppel,C1,4.5,5.27,0.77,17.1,OVER,OVER,6.1,0.4,MED,NORMAL,4|2|0|4|7|6|2,61,0.97,0.45,120,119,120,-210,180,0.499,0.501,0.786,0.3038,5.44,5.44,4.32,2.94,6
2026-03-19,Philadelphia 76ers (-143) @ Sacramento Kings (+122),Andre Drummond,C1,9.5,7.73,-1.77,18.6,UNDER,UNDER,11.2,0.8,LOW,NORMAL,12|3|3|7|7|17|10,58,1.913,0.23,210,-102,-102,122,-143,0.39,0.61,0.823,0.3212,7.72,7.72,7.79,4.37,5
2026-03-19,Cleveland Cavaliers (-800) @ Chicago Bulls (+550),Josh Giddey,C1,8.5,7.77,-0.73,8.6,UNDER,UNDER,7.1,0.6,MED,NORMAL,9|8|13|8|11|15|0,48,1.213,0.53,140,-105,-105,550,-800,0.449,0.551,0.726,0.2191,7.6,7.6,8.75,5.68,6
2026-03-19,Cleveland Cavaliers (-800) @ Chicago Bulls (+550),Evan Mobley,C1,9.5,8.49,-1.01,10.6,UNDER,UNDER,9.3,0.8,LOW,NORMAL,5|8|8|13|7|11|15,46,1.641,0.1,185,102,102,550,-800,0.415,0.585,0.731,0.2336,8.44,8.44,8.74,5.35,6
