date,game,player_name,cluster,line,prediction,edge,edge_pct,direction,pick,edge_score,ag_score,agreement,role_flag,last7_vals,confidence,model_std,blowout_risk,best_over_odds,best_under_odds,best_odds_for_bet,home_ml,away_ml,imp_over_prob,imp_under_prob,model_win_prob,kelly,m1_xgb,m4_mean,m5_context,m7_matchup,n_books
2026-05-14,Detroit Pistons (+148) @ Cleveland Cavaliers (-176),Caris LeVert,C1,1.5,2.41,0.91,60.7,OVER,OVER,7.5,0.8,HIGH,NORMAL,3|0|2|2|2|4|1,88,0.179,0.21,-196,148,-196,-176,148,0.622,0.378,0.999,0.4985,2.44,2.44,2.21,2.62,1
2026-05-14,San Antonio Spurs (-191) @ Minnesota Timberwolves (+162),Keldon Johnson,C1,3.5,4.49,0.99,28.3,OVER,OVER,6.8,0.6,HIGH,NORMAL,1|5|2|10|2|3|2,87,0.747,0.49,215,-135,215,162.5,-191,0.356,0.644,0.907,0.4319,4.52,4.52,4.3,3.44,4
2026-05-14,Detroit Pistons (+148) @ Cleveland Cavaliers (-176),Daniss Jenkins,C1,2.5,3.42,0.92,36.8,OVER,OVER,7.4,0.8,HIGH,NORMAL,1|3|7|6|1|3|2,81,0.496,0.35,118,-146,118,-176,148,0.436,0.564,0.968,0.4704,3.44,3.44,3.29,3.34,2
2026-05-14,San Antonio Spurs (-191) @ Minnesota Timberwolves (+162),Ayo Dosunmu,C1,3.5,4.44,0.94,26.9,OVER,OVER,6.8,0.6,MED,NORMAL,3|4|3|0|7|5|9,80,1.232,0.27,200,100,200,162.5,-191,0.4,0.6,0.777,0.3328,4.56,4.56,3.74,3.17,5
2026-05-14,Detroit Pistons (+148) @ Cleveland Cavaliers (-176),Jarrett Allen,C1,6.5,8.14,1.64,25.2,OVER,OVER,10,0.6,MED,NORMAL,7|19|3|7|4|5|10,80,1.183,0.07,175,116,175,-176,148,0.44,0.56,0.917,0.4348,8.24,8.24,7.57,4.61,5
2026-05-14,San Antonio Spurs (-191) @ Minnesota Timberwolves (+162),Luke Kornet,C1,2.5,5.23,2.73,109.2,OVER,OVER,13.6,0.8,MED,NORMAL,7|3|2|2|1|9|0,68,0.817,0.15,-128,-104,-128,162.5,-191,0.524,0.476,1,0.5,5.32,5.32,4.72,3.09,1
2026-05-14,San Antonio Spurs (-191) @ Minnesota Timberwolves (+162),Jaden McDaniels,C1,5.5,4.71,-0.79,14.4,UNDER,UNDER,6.7,0.6,MED,NORMAL,3|10|5|3|7|6|6,67,0.88,0.15,190,-130,-130,162.5,-191,0.379,0.621,0.815,0.2872,4.56,4.56,5.59,4.02,5
2026-05-14,San Antonio Spurs (-191) @ Minnesota Timberwolves (+162),Rudy Gobert,C1,8.5,11.02,2.52,29.6,OVER,OVER,12.6,0.6,LOW,NORMAL,7|13|10|10|7|13|5,65,1.861,0.28,215,-103,215,162.5,-191,0.385,0.615,0.912,0.4355,11.12,11.12,10.47,5.59,5
2026-05-14,San Antonio Spurs (-191) @ Minnesota Timberwolves (+162),Dylan Harper,C1,3.5,4.16,0.66,18.9,OVER,OVER,6.1,0.8,MED,NORMAL,2|3|4|7|4|7|10,63,1.091,0.31,130,122,130,162.5,-191,0.491,0.509,0.727,0.2585,4.12,4.12,4.39,3.65,5
2026-05-14,San Antonio Spurs (-191) @ Minnesota Timberwolves (+162),Anthony Edwards,C1,5.5,4.91,-0.59,10.7,UNDER,UNDER,6.7,0.8,MED,NORMAL,5|3|3|3|14|6|2,61,0.986,0.29,130,116,116,162.5,-191,0.484,0.516,0.725,0.244,4.84,4.84,5.32,3.88,5
2026-05-14,Detroit Pistons (+148) @ Cleveland Cavaliers (-176),Cade Cunningham,C1,5.5,4.99,-0.51,9.3,UNDER,UNDER,6.6,0.8,MED,NORMAL,10|1|3|3|10|3|7,49,0.949,0.33,190,-138,-138,-176,148,0.373,0.627,0.705,0.1489,5.04,5.04,4.69,3.34,5
2026-05-14,San Antonio Spurs (-191) @ Minnesota Timberwolves (+162),Victor Wembanyama,C1,13.5,11.79,-1.71,12.7,UNDER,UNDER,11,0.8,LOW,NORMAL,12|14|15|15|15|4|17,39,1.99,0.33,200,-118,-118,162.5,-191,0.381,0.619,0.805,0.2875,11.88,11.88,11.25,6.29,5
2026-05-14,Detroit Pistons (+148) @ Cleveland Cavaliers (-176),Dean Wade,C1,3.5,4.12,0.62,17.7,OVER,PASS,5.6,0.6,HIGH,NORMAL,5|4|3|5|1|5|6,89,0.323,0.11,110,-128,110,-176,148,0.459,0.541,0.973,0.4742,4.16,4.16,3.92,3.18,4
2026-05-14,San Antonio Spurs (-191) @ Minnesota Timberwolves (+162),Terrence Shannon Jr.,C1,2.5,1.83,-0.67,26.8,UNDER,PASS,5.1,0.4,HIGH,NORMAL,1|6|5|5|2|2|0,87,0.762,0.39,135,-150,-150,162.5,-191,0.415,0.585,0.81,0.2625,1.68,1.68,2.71,3.24,4
2026-05-14,Detroit Pistons (+148) @ Cleveland Cavaliers (-176),Max Strus,C1,4.5,5.1,0.6,13.3,OVER,PASS,5.8,0.6,HIGH,NORMAL,5|8|5|3|5|4|8,85,0.579,0.22,121,-140,121,-176,148,0.437,0.563,0.85,0.363,5.13,5.13,4.95,3.68,5
2026-05-14,Detroit Pistons (+148) @ Cleveland Cavaliers (-176),Duncan Robinson,C1,2.5,2.78,0.28,11.2,OVER,PASS,5,0.8,HIGH,NORMAL,3|5|6|0|3|3|1,82,0.324,0.21,200,-119,200,-176,148,0.38,0.62,0.806,0.3545,2.76,2.76,2.9,3.12,5
2026-05-14,Detroit Pistons (+148) @ Cleveland Cavaliers (-176),Donovan Mitchell,C1,4.5,4.9,0.4,8.9,OVER,PASS,4.9,0.6,HIGH,NORMAL,5|3|4|6|10|5|4,78,0.705,0.23,165,-110,165,-176,148,0.419,0.581,0.715,0.2711,4.84,4.84,5.25,3.89,5
2026-05-14,Detroit Pistons (+148) @ Cleveland Cavaliers (-176),James Harden,C1,4.5,4.67,0.17,3.8,OVER,PASS,4.4,0.6,HIGH,NORMAL,9|6|8|6|2|0|8,71,0.613,0.25,160,-105,160,-176,148,0.429,0.571,0.609,0.1823,4.68,4.68,4.63,3.47,5
2026-05-14,San Antonio Spurs (-191) @ Minnesota Timberwolves (+162),Julian Champagnie,C1,5.5,5.61,0.11,2,OVER,PASS,4.2,0.6,HIGH,NORMAL,3|7|7|3|12|5|4,68,0.759,0.26,175,-132,175,162.5,-191,0.39,0.61,0.558,0.1527,5.56,5.56,5.86,4.28,5
2026-05-14,San Antonio Spurs (-191) @ Minnesota Timberwolves (+162),De'Aaron Fox,C1,3.5,3.6,0.1,2.9,OVER,PASS,3.3,0.4,HIGH,NORMAL,6|3|3|0|3|4|4,59,0.322,0.44,200,-115,200,162.5,-191,0.384,0.616,0.622,0.2165,3.68,3.68,3.18,2.81,5
2026-05-14,San Antonio Spurs (-191) @ Minnesota Timberwolves (+162),Devin Vassell,C1,4.5,4.52,0.02,0.4,OVER,PASS,3.3,0.4,HIGH,NORMAL,6|1|5|5|6|1|3,56,0.539,0.32,134,-145,134,162.5,-191,0.419,0.581,0.515,0.0765,4.56,4.56,4.27,3.16,5
2026-05-14,San Antonio Spurs (-191) @ Minnesota Timberwolves (+162),Stephon Castle,C1,5.5,5.85,0.35,6.4,OVER,PASS,4.9,0.4,MED,NORMAL,1|3|5|4|4|6|4,55,0.825,0.25,205,-145,205,162.5,-191,0.356,0.644,0.664,0.25,6,6,5.03,3.44,5
2026-05-14,Detroit Pistons (+148) @ Cleveland Cavaliers (-176),Tobias Harris,C1,6.5,6.34,-0.16,2.5,UNDER,PASS,4.7,0.6,MED,NORMAL,10|9|8|7|5|8|6,49,0.963,0.06,140,-103,-103,-176,148,0.451,0.549,0.566,0.0595,6.2,6.2,7.13,4.55,5
2026-05-14,Detroit Pistons (+148) @ Cleveland Cavaliers (-176),Ausar Thompson,C1,6.5,6.55,0.05,0.8,OVER,PASS,4.6,0.6,MED,NORMAL,10|4|8|7|7|4|7,46,0.963,0.28,210,106,210,-176,148,0.399,0.601,0.521,0.1465,6.52,6.52,6.69,4.05,5
2026-05-14,San Antonio Spurs (-191) @ Minnesota Timberwolves (+162),Julius Randle,C1,6.5,6.38,-0.12,1.8,UNDER,PASS,5.4,0.8,MED,NORMAL,9|4|10|5|6|8|10,38,1.137,0.49,200,-140,-140,162.5,-191,0.364,0.636,0.542,0,6.36,6.36,6.49,4.16,5
2026-05-14,San Antonio Spurs (-191) @ Minnesota Timberwolves (+162),Naz Reid,C1,6.5,6.47,-0.03,0.5,UNDER,PASS,4.1,0.6,MED,NORMAL,8|7|9|7|9|9|5,30,0.996,0.48,200,109,109,162.5,-191,0.411,0.589,0.512,0.0321,6.36,6.36,7.1,4.73,3
2026-05-14,Detroit Pistons (+148) @ Cleveland Cavaliers (-176),Evan Mobley,C1,8.5,8.85,0.35,4.1,OVER,PASS,6.1,0.4,LOW,NORMAL,14|7|9|1|8|8|8,26,1.537,0.45,180,110,180,-176,148,0.429,0.571,0.59,0.1811,9.08,9.08,7.58,4.25,5
2026-05-14,Detroit Pistons (+148) @ Cleveland Cavaliers (-176),Jalen Duren,C1,9.5,9.43,-0.07,0.7,UNDER,PASS,3.8,0.4,LOW,NORMAL,9|15|12|10|4|2|5,21,2.196,0.4,155,100,100,-176,148,0.44,0.56,0.513,0.013,9.56,9.56,8.67,4.97,5
