date,game,player_name,cluster,line,prediction,edge,edge_pct,direction,pick,edge_score,ag_score,agreement,role_flag,last7_vals,confidence,model_std,blowout_risk,best_over_odds,best_under_odds,best_odds_for_bet,home_ml,away_ml,imp_over_prob,imp_under_prob,model_win_prob,kelly,m1_xgb,m4_mean,m5_context,m7_matchup,n_books
2026-04-17,Toronto Raptors (+278) @ Cleveland Cavaliers (-358),Immanuel Quickley,C1,2.5,3.67,1.17,46.8,OVER,OVER,8.1,0.8,HIGH,NORMAL,1|2|4|3|4|3|2,100,0.328,0.18,165,116,165,-358.5,277.5,0.449,0.551,1,0.5,3.72,3.72,3.36,2.98,6
2026-04-17,Houston Rockets (-222) @ Los Angeles Lakers (+184),Reed Sheppard,C1,2.5,3.43,0.93,37.2,OVER,OVER,6.7,0.6,HIGH,NORMAL,4|2|0|5|0|3|4,100,0.527,0.21,165,102,165,184,-222.5,0.433,0.567,0.961,0.4687,3.52,3.52,2.92,2.35,6
2026-04-17,Portland Trail Blazers (+400) @ San Antonio Spurs (-550),Devin Vassell,C1,3.5,4.4,0.9,25.7,OVER,OVER,7,0.8,HIGH,NORMAL,2|10|5|4|8|2|4,100,0.494,0,115,-135,115,-550,400,0.447,0.553,0.966,0.4682,4.28,4.28,5.06,3.86,6
2026-04-17,Golden State Warriors (+128) @ Phoenix Suns (-150),Devin Booker,C1,4.5,3.43,-1.07,23.8,UNDER,UNDER,7.8,0.8,HIGH,NORMAL,2|3|5|3|4|5|1,100,0.172,0.07,125,128,128,-150,128,0.503,0.497,1,0.5,3.4,3.4,3.61,3.36,5
2026-04-17,Toronto Raptors (+278) @ Cleveland Cavaliers (-358),Dean Wade,C1,3.5,4.28,0.78,22.3,OVER,OVER,6.2,0.6,HIGH,NORMAL,5|2|7|5|1|4|3,98,0.644,0.22,165,-104,165,-358.5,277.5,0.425,0.575,0.887,0.4093,4.32,4.32,4.03,3.18,6
2026-04-17,Philadelphia 76ers (+532) @ Boston Celtics (-770),Quentin Grimes,C1,2.5,3.53,1.03,41.2,OVER,OVER,7.5,0.8,HIGH,NORMAL,4|3|2|2|3|3|4,97,0.393,0.01,200,-105,200,-770,532.5,0.394,0.606,0.996,0.497,3.6,3.6,3.16,2.56,4
2026-04-17,Golden State Warriors (+128) @ Phoenix Suns (-150),De'Anthony Melton,C1,2.5,3.51,1.01,40.4,OVER,OVER,7.5,0.8,HIGH,NORMAL,6|1|4|3|4|3|5,97,0.477,0.13,150,130,150,-150,128,0.479,0.521,0.983,0.4858,3.52,3.52,3.44,2.82,4
2026-04-17,Portland Trail Blazers (+400) @ San Antonio Spurs (-550),Dylan Harper,C1,2.5,3.45,0.95,38,OVER,OVER,7.4,0.8,HIGH,NORMAL,2|2|3|3|6|4|3,97,0.362,0.18,110,-130,110,-550,400,0.457,0.543,0.996,0.4962,3.44,3.44,3.5,3.08,4
2026-04-17,Charlotte Hornets (-162) @ Orlando Magic (+135),Anthony Black,C1,2.5,3.32,0.82,32.8,OVER,OVER,6.8,0.8,HIGH,NORMAL,3|1|1|5|3|3|6,97,0.541,0.12,155,110,155,135,-162,0.452,0.548,0.935,0.4465,3.4,3.4,2.87,2.65,4
2026-04-17,Charlotte Hornets (-162) @ Orlando Magic (+135),Miles Bridges,C1,6.5,5.26,-1.24,19.1,UNDER,UNDER,9,0.8,HIGH,NORMAL,4|6|8|12|8|1|9,91,0.773,0.22,190,122,122,135,-162,0.434,0.566,0.946,0.4509,5.16,5.16,5.85,4.15,4
2026-04-17,Toronto Raptors (+278) @ Cleveland Cavaliers (-358),Ja'Kobe Walter,C1,2.5,3.38,0.88,35.2,OVER,OVER,7.2,0.8,HIGH,NORMAL,4|8|2|7|3|2|0,90,0.718,0.45,105,-114,105,-358.5,277.5,0.478,0.522,0.89,0.3926,3.32,3.32,3.7,3.41,5
2026-04-17,Houston Rockets (-222) @ Los Angeles Lakers (+184),Jake LaRavia,C1,3.5,4.48,0.98,28,OVER,OVER,7.4,0.8,HIGH,NORMAL,7|8|5|7|7|3|4,90,0.633,0.48,135,128,135,184,-222.5,0.492,0.508,0.939,0.4469,5.04,4,4.74,3.96,5
2026-04-17,Minnesota Timberwolves (+205) @ Denver Nuggets (-250),Jaden McDaniels,C1,4.5,3.75,-0.75,16.7,UNDER,UNDER,7,0.8,HIGH,NORMAL,7|2|6|6|2|2|7,90,0.504,0.09,125,-150,-150,-250,205,0.426,0.574,0.932,0.415,3.8,3.8,3.47,3.22,6
2026-04-17,Portland Trail Blazers (+400) @ San Antonio Spurs (-550),Jerami Grant,C1,1.5,3.2,1.7,113.3,OVER,STRONG OVER,10.5,0.8,HIGH,NORMAL,2|4|3|5|2|4|2,88,0.202,0.2,-169,130,-169,-550,400,0.591,0.409,1,0.5,3.2,3.2,3.21,3.02,1
2026-04-17,Charlotte Hornets (-162) @ Orlando Magic (+135),Jamal Cain,C1,1.5,2.69,1.19,79.3,OVER,OVER,8.6,0.8,HIGH,NORMAL,4|5|2|2|8|2|2,88,0.469,0.08,-175,135,-175,135,-162,0.599,0.401,0.994,0.4917,2.6,2.6,3.21,3.07,1
2026-04-17,Charlotte Hornets (-162) @ Orlando Magic (+135),Tristan da Silva,C1,2.5,4.19,1.69,67.6,OVER,STRONG OVER,10,0.8,HIGH,NORMAL,5|3|4|2|3|6|2,88,0.462,0.25,149,-196,149,135,-162,0.378,0.622,1,0.5,4.28,4.28,3.65,3,1
2026-04-17,Atlanta Hawks (+185) @ New York Knicks (-222),Miles McBride,C1,1.5,2.32,0.82,54.7,OVER,OVER,7.2,0.8,HIGH,NORMAL,2|1|1|1|2|1|3,88,0.308,0.02,-149,115,-149,-222.5,185,0.563,0.437,0.996,0.495,2.4,2.4,1.86,2.43,1
2026-04-17,Portland Trail Blazers (+400) @ San Antonio Spurs (-550),Harrison Barnes,C1,1.5,2.31,0.81,54,OVER,OVER,7,0.8,HIGH,NORMAL,6|0|1|1|2|2|1,88,0.369,0.12,-161,123,-161,-550,400,0.579,0.421,0.986,0.4817,2.4,2.4,1.82,2.23,1
2026-04-17,Golden State Warriors (+128) @ Phoenix Suns (-150),Grayson Allen,C1,2.5,3.18,0.68,27.2,OVER,OVER,6.4,0.8,HIGH,NORMAL,5|3|2|2|5|4|4,88,0.434,0.2,125,-164,125,-150,128,0.417,0.583,0.941,0.4469,3.2,3.2,3.05,3.08,1
2026-04-17,Charlotte Hornets (-162) @ Orlando Magic (+135),Ryan Kalkbrenner,C1,3.5,4.45,0.95,27.1,OVER,OVER,6.6,0.6,HIGH,NORMAL,7|8|5|3|4|5|5,88,0.419,0.2,-130,101,-130,135,-162,0.532,0.468,0.988,0.4862,4.44,4.44,4.47,3.46,1
2026-04-17,Golden State Warriors (+128) @ Phoenix Suns (-150),Jalen Green,C1,4.5,3.84,-0.66,14.7,UNDER,UNDER,6.8,0.8,HIGH,NORMAL,6|1|4|4|3|1|5,87,0.421,0.05,150,-104,-104,-150,128,0.44,0.56,0.942,0.4408,3.92,3.92,3.39,2.86,5
2026-04-17,Minnesota Timberwolves (+205) @ Denver Nuggets (-250),Cameron Johnson,C1,3.5,4.17,0.67,19.1,OVER,OVER,6.2,0.8,HIGH,NORMAL,1|4|1|9|7|6|3,84,0.531,0.43,150,103,150,-250,205,0.448,0.552,0.896,0.4133,4.12,4.12,4.48,3.71,6
