date,game,player_name,cluster,line,prediction,edge,edge_pct,direction,pick,edge_score,ag_score,agreement,role_flag,last7_vals,confidence,model_std,blowout_risk,best_over_odds,best_under_odds,best_odds_for_bet,home_ml,away_ml,imp_over_prob,imp_under_prob,model_win_prob,kelly,m1_xgb,m4_mean,m5_context,m7_matchup,n_books
2026-06-04,New York Knicks (+190) @ San Antonio Spurs (-228),Karl-Anthony Towns,C1,3.5,4.93,1.43,40.9,OVER,OVER,8.6,0.6,LOW,NORMAL,7|10|5|1|7|3|4,45,1.197,0.68,120,128,120,-228.5,190,0.509,0.491,0.884,0.3937,4.88,4.88,5.13,2.79,5
2026-06-04,New York Knicks (+190) @ San Antonio Spurs (-228),Stephon Castle,C1,6.5,7.36,0.86,13.2,OVER,OVER,8,0.6,LOW,NORMAL,8|7|6|6|9|6|3,40,1.377,0.32,165,-110,165,-228.5,190,0.419,0.581,0.734,0.2864,7.48,7.48,6.88,3.19,5
2026-06-04,New York Knicks (+190) @ San Antonio Spurs (-228),Jalen Brunson,C1,6.5,7.19,0.69,10.6,OVER,OVER,7.2,0.6,LOW,NORMAL,9|6|6|14|6|5|2,36,1.489,0.45,180,-125,180,-228.5,190,0.391,0.609,0.678,0.2496,7.24,7.24,6.99,3.58,5
2026-06-04,New York Knicks (+190) @ San Antonio Spurs (-228),OG Anunoby,C1,1.5,1.99,0.49,32.7,OVER,PASS,5.7,0.8,HIGH,NORMAL,1|2|2|3|4|4|0,90,0.295,0.43,-106,-105,-106,-228.5,190,0.501,0.499,0.949,0.4475,1.92,1.92,2.26,2.01,5
2026-06-04,New York Knicks (+190) @ San Antonio Spurs (-228),Dylan Harper,C1,2.5,2.95,0.45,18,OVER,PASS,5.2,0.6,HIGH,NORMAL,3|2|2|3|4|3|1,79,0.391,0.4,165,108,165,-228.5,190,0.44,0.56,0.875,0.3996,3,3,2.77,1.8,4
2026-06-04,New York Knicks (+190) @ San Antonio Spurs (-228),Mikal Bridges,C1,2.5,2.79,0.29,11.6,OVER,PASS,4.4,0.6,HIGH,NORMAL,1|6|1|3|2|5|3,72,0.433,0.47,205,-105,205,-228.5,190,0.39,0.61,0.748,0.3125,2.76,2.76,2.91,2.15,5
2026-06-04,New York Knicks (+190) @ San Antonio Spurs (-228),Julian Champagnie,C1,1.5,1.66,0.16,10.7,OVER,PASS,3.9,0.6,HIGH,NORMAL,2|2|2|1|2|1|1,71,0.129,0.43,126,-140,126,-228.5,190,0.431,0.569,0.703,0.2336,1.68,1.68,1.57,1.38,5
2026-06-04,New York Knicks (+190) @ San Antonio Spurs (-228),Victor Wembanyama,C1,2.5,3.1,0.6,24,OVER,PASS,5.8,0.6,MED,NORMAL,6|3|5|1|2|2|2,70,0.515,0.35,150,121,150,-228.5,190,0.469,0.531,0.878,0.3983,3.16,3.16,2.84,1.73,5
2026-06-04,New York Knicks (+190) @ San Antonio Spurs (-228),Devin Vassell,C1,2.5,2.6,0.1,4,OVER,PASS,4,0.6,HIGH,NORMAL,1|2|3|4|2|3|3,61,0.336,0.35,105,-115,105,-228.5,190,0.477,0.523,0.617,0.1261,2.6,2.6,2.59,1.8,5
2026-06-04,New York Knicks (+190) @ San Antonio Spurs (-228),De'Aaron Fox,C1,5.5,5.83,0.33,6,OVER,PASS,5.7,0.6,LOW,NORMAL,9|6|5|8|7|5|5,39,1.003,0.08,125,115,125,-228.5,190,0.489,0.511,0.629,0.1661,5.84,5.84,5.81,2.98,5
2026-06-04,New York Knicks (+190) @ San Antonio Spurs (-228),Josh Hart,C1,4.5,4.13,-0.37,8.2,UNDER,PASS,6,0.8,MED,NORMAL,3|1|4|7|5|6|6,37,0.876,0.61,130,118,118,-228.5,190,0.487,0.513,0.664,0.1896,4.12,4.12,4.16,2.58,5
