date,game,player_name,cluster,line,prediction,edge,edge_pct,direction,pick,edge_score,agreement,role_flag,m8_last3,confidence,model_std,blowout_risk,best_over_odds,best_under_odds,best_odds_for_bet,imp_over_prob,imp_under_prob,model_win_prob,kelly,m1_xgb,m4_mean,m5_context,m7_matchup,n_books
2026-03-02,San Antonio Spurs @ Philadelphia 76ers,Tyrese Maxey,C4,3.5,3.51,0.01,0.3,OVER,PASS,3.6,HIGH,NORMAL,NA,56,0.69,0.23,-112,-102,-112,0.511,0.489,0.506,0,3.57,3.57,3.16,4.44,2
2026-03-02,Boston Celtics @ Milwaukee Bucks,Derrick White,C4,4.5,4.49,-0.01,0.2,UNDER,PASS,3.2,HIGH,NORMAL,NA,55,0.625,0.46,116,125,125,0.51,0.49,0.506,0.0554,4.38,4.38,5.1,5.58,5
2026-03-02,Los Angeles Clippers @ Golden State Warriors,Kawhi Leonard,C4,6.5,6.09,-0.41,6.3,UNDER,PASS,5.7,HIGH,NORMAL,NA,54,0.675,0.64,170,-105,-105,0.42,0.58,0.728,0.2212,6.05,6.05,6.34,5.59,5
2026-03-02,Houston Rockets @ Washington Wizards,Alperen Sengun,C3,9.5,9.87,0.37,3.9,OVER,PASS,4.6,MED,NORMAL,NA,51,0.976,0.29,200,-104,200,0.395,0.605,0.648,0.236,9.93,9.93,9.52,9.45,5
2026-03-02,San Antonio Spurs @ Philadelphia 76ers,Stephon Castle,C2,4.5,3.79,-0.71,15.8,UNDER,PASS,5.9,MED,NORMAL,NA,50,0.841,0.31,-114,-110,-110,0.504,0.496,0.801,0.2911,3.61,3.61,4.78,3.99,2
2026-03-02,Denver Nuggets @ Utah Jazz,Brice Sensabaugh,C2,3.5,3.14,-0.36,10.3,UNDER,PASS,4.2,MED,NORMAL,NA,50,0.832,0.33,130,-150,-150,0.42,0.58,0.667,0.0837,2.99,2.99,3.96,4.09,5
2026-03-02,New York Knicks @ Toronto Raptors,OG Anunoby,C4,4.5,4.63,0.13,2.9,OVER,PASS,4.6,HIGH,NORMAL,NA,50,0.525,0.31,-130,100,-130,0.531,0.469,0.598,0.0377,4.57,4.57,5,5.39,2
2026-03-02,New York Knicks @ Toronto Raptors,Jalen Brunson,C4,3,3.23,0.23,7.7,OVER,PASS,4.4,MED,NORMAL,NA,48,0.809,0.11,142,127,142,0.484,0.516,0.612,0.1694,3.29,3.29,2.9,4.1,2
2026-03-02,New York Knicks @ Toronto Raptors,Mikal Bridges,C4,3.5,3.8,0.3,8.6,OVER,PASS,4.6,MED,NORMAL,NA,46,0.976,0.13,104,-138,104,0.458,0.542,0.621,0.1283,3.87,3.87,3.39,4.53,1
2026-03-02,New York Knicks @ Toronto Raptors,Karl-Anthony Towns,C4,11.5,10.81,-0.69,6,UNDER,PASS,8.1,MED,NORMAL,NA,35,1.492,0.33,-118,-106,-106,0.513,0.487,0.678,0.1683,10.71,10.71,11.36,7.75,2
2026-03-02,San Antonio Spurs @ Philadelphia 76ers,Victor Wembanyama,C4,11.5,10.81,-0.69,6,UNDER,PASS,8.3,LOW,NORMAL,NA,30,1.531,0.14,-102,-129,-129,0.473,0.527,0.674,0.1267,10.76,10.76,11.13,7.35,2
2026-03-02,New York Knicks @ Toronto Raptors,Scottie Barnes,C4,7.5,7.8,0.3,4,OVER,PASS,4.8,LOW,NORMAL,NA,27,1.519,0.14,101,-128,101,0.47,0.53,0.578,0.0801,7.94,7.94,6.97,5.19,2
