date,game,player_name,cluster,line,prediction,edge,edge_pct,direction,pick,edge_score,ag_score,agreement,role_flag,last7_vals,confidence,model_std,blowout_risk,best_over_odds,best_under_odds,best_odds_for_bet,home_ml,away_ml,imp_over_prob,imp_under_prob,model_win_prob,kelly,m1_xgb,m4_mean,m5_context,m7_matchup,n_books,target,actual,result,profit_units
2026-04-04,Washington Wizards (+1100) @ Miami Heat (-2400),Bam Adebayo,C1,1.5,0.12,-1.38,92,UNDER,UNDER,8.9,0.8,MED,NORMAL,,70,0.58,0.53,175,132,132,-2400,1100,0.458,0.542,0.991,0.4921,0,0,0,0.3,6,fg3m,NA,NA,NA
2026-04-04,San Antonio Spurs (-138) @ Denver Nuggets (+118),Keldon Johnson,C1,1.5,0.13,-1.37,91.3,UNDER,UNDER,8.8,0.8,MED,NORMAL,,70,0.533,0.46,145,-164,-164,118,-138,0.397,0.603,0.995,0.4934,0,0,0,0.32,6,fg3m,NA,NA,NA
2026-04-04,Charlotte Hornets (+2) @ Minnesota Timberwolves (-120),Naz Reid,C1,1.5,0.13,-1.37,91.3,UNDER,UNDER,8.8,0.8,MED,NORMAL,,68,0.673,0.2,-138,104,104,-120.5,1.5,0.542,0.458,0.979,0.4794,0,0,0,0.32,1,fg3m,NA,NA,NA
2026-04-04,Detroit Pistons (-144) @ Philadelphia 76ers (+118),Duncan Robinson,C1,2.5,0.11,-2.39,95.6,UNDER,UNDER,12,0.8,LOW,NORMAL,,65,1.104,0.14,180,105,105,118,-144,0.423,0.577,0.985,0.4854,0,0,0,0.29,6,fg3m,NA,NA,NA
2026-04-04,Detroit Pistons (-144) @ Philadelphia 76ers (+118),Kevin Huerter,C1,1.5,0.11,-1.39,92.7,UNDER,UNDER,8.9,0.8,LOW,NORMAL,,65,1.137,0.24,116,-135,-135,118,-144,0.446,0.554,0.889,0.3696,0,0,0,0.29,5,fg3m,NA,NA,NA
2026-04-04,Charlotte Hornets (+2) @ Minnesota Timberwolves (-120),Ayo Dosunmu,C1,1.5,0.13,-1.37,91.3,UNDER,UNDER,8.8,0.8,MED,NORMAL,,61,0.748,0.35,-114,-111,-111,-120.5,1.5,0.503,0.497,0.966,0.4641,0,0,0,0.32,2,fg3m,NA,NA,NA
2026-04-04,San Antonio Spurs (-138) @ Denver Nuggets (+118),Devin Vassell,C1,2.5,0.13,-2.37,94.8,UNDER,UNDER,11.9,0.8,MED,NORMAL,,60,0.87,0.66,120,-135,-135,118,-138,0.442,0.558,0.997,0.4965,0,0,0,0.32,6,fg3m,NA,NA,NA
2026-04-04,San Antonio Spurs (-138) @ Denver Nuggets (+118),De'Aaron Fox,C1,1.5,0.13,-1.37,91.3,UNDER,UNDER,8.8,0.8,MED,NORMAL,,60,0.484,0.84,-105,-111,-111,118,-138,0.493,0.507,0.998,0.4979,0,0,0,0.32,6,fg3m,NA,NA,NA
2026-04-04,San Antonio Spurs (-138) @ Denver Nuggets (+118),Stephon Castle,C1,1.5,0.13,-1.37,91.3,UNDER,UNDER,8.8,0.8,MED,NORMAL,,60,0.555,0.63,135,-145,-145,118,-138,0.418,0.582,0.993,0.4914,0,0,0,0.32,6,fg3m,NA,NA,NA
2026-04-04,Toronto Raptors (+320) @ Boston Celtics (-408),Payton Pritchard,C1,2.5,0.11,-2.39,95.6,UNDER,UNDER,12,0.8,MED,NORMAL,,58,0.801,0.54,-158,118,118,-407.5,320,0.572,0.428,0.999,0.4991,0,0,0,0.27,1,fg3m,NA,NA,NA
2026-04-04,Los Angeles Lakers (-260) @ Dallas Mavericks (+212),Austin Reaves,C1,2.5,0.13,-2.37,94.8,UNDER,UNDER,11.9,0.8,MED,NORMAL,,58,0.868,0.48,-138,104,104,212.5,-260,0.542,0.458,0.997,0.4971,0,0,0,0.31,1,fg3m,NA,NA,NA
2026-04-04,Charlotte Hornets (+2) @ Minnesota Timberwolves (-120),Miles Bridges,C1,1.5,0.1,-1.4,93.3,UNDER,UNDER,8.9,0.8,MED,NORMAL,,58,0.635,0.59,-112,-118,-118,-120.5,1.5,0.494,0.506,0.986,0.4847,0,0,0,0.26,1,fg3m,NA,NA,NA
2026-04-04,Toronto Raptors (+320) @ Boston Celtics (-408),Jaylen Brown,C1,1.5,0.11,-1.39,92.7,UNDER,UNDER,8.9,0.8,MED,NORMAL,,58,0.567,0.31,-180,134,134,-407.5,320,0.601,0.399,0.993,0.4939,0,0,0,0.27,1,fg3m,NA,NA,NA
2026-04-04,San Antonio Spurs (-138) @ Denver Nuggets (+118),Harrison Barnes,C1,1.5,0.13,-1.37,91.3,UNDER,UNDER,8.8,0.8,MED,NORMAL,,58,0.767,0.35,152,-200,-200,118,-138,0.373,0.627,0.963,0.4445,0,0,0,0.32,1,fg3m,NA,NA,NA
2026-04-04,Charlotte Hornets (+2) @ Minnesota Timberwolves (-120),Julius Randle,C1,1.5,0.13,-1.37,91.3,UNDER,UNDER,8.8,0.8,MED,NORMAL,,58,0.694,0.35,158,-220,-220,-120.5,1.5,0.361,0.639,0.976,0.4616,0,0,0,0.32,1,fg3m,NA,NA,NA
2026-04-04,Detroit Pistons (-144) @ Philadelphia 76ers (+118),Tyrese Maxey,C1,2.5,0.11,-2.39,95.6,UNDER,UNDER,12,0.8,LOW,NORMAL,,55,1.203,0.41,160,125,125,118,-144,0.464,0.536,0.977,0.4793,0,0,0,0.27,6,fg3m,NA,NA,NA
2026-04-04,Charlotte Hornets (+2) @ Minnesota Timberwolves (-120),Coby White,C1,1.5,0.1,-1.4,93.3,UNDER,UNDER,8.9,0.8,LOW,NORMAL,,53,1.02,0.23,-140,106,106,-120.5,1.5,0.546,0.454,0.915,0.4174,0,0,0,0.26,1,fg3m,NA,NA,NA
2026-04-04,Toronto Raptors (+320) @ Boston Celtics (-408),Brandon Ingram,C1,1.5,0.13,-1.37,91.3,UNDER,UNDER,8.8,0.8,MED,NORMAL,,48,0.694,0.82,-132,100,100,-407.5,320,0.532,0.468,0.976,0.476,0,0,0,0.33,1,fg3m,NA,NA,NA
2026-04-04,Los Angeles Lakers (-260) @ Dallas Mavericks (+212),LeBron James,C1,1.5,0.13,-1.37,91.3,UNDER,UNDER,8.8,0.8,MED,NORMAL,,48,0.707,0.84,116,-154,-154,212.5,-260,0.433,0.567,0.974,0.467,0,0,0,0.31,1,fg3m,NA,NA,NA
